,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
1194,"What did Mike Brady, one of the main characters on The Brady Bunch, buy for the family to get Bobby to walk on his sprained ankle?
",A trampoline,A set of pogo sticks,All of these,A swing set with a balance beam,A trampoline
1195,"What happened to Gregs hair on The Brady Bunch, when Bobby sold him some conditioner?
",It turned green,His skin itched for days,It fell out,It turned bright orange,It turned bright orange
1196,"In the Hawaii episodes of The Brady Bunch, Peter ends up with a black widow spider on his stomach while hes in bed.
",True,False,,,False
1197,"In Ring a Ding Ding, an episode of Sex and the City, Carrie is complaining that she never had any money but eventually realizes that she had spent how much on shoes?
","$40,000","$5,000","$4,000","$50,000","$40,000"
1198,"Samantha Jones, the sassy lady  from Sex and the City, has a passion for the struggling actor Jerry Jerrod. As she finds his name unsuitable for an acting career, she gives him a new name. What is it?
",Smith Jones,Smith Johnson,Smith Jerrod,Jared Jones,Smith Jerrod
1199,"Charlotte York, one of the main characters in Sex and the City named her dog after which celebrity?
",Princess Diana,Raquel Welch,Elizabeth Taylor,Joan Collins,Elizabeth Taylor
1200,"What name did Miranda Hobbes from Sex and the City give to her baby?
",Brady,Steve Jr.,Brandon,Brad,Brady
1201,"Miranda Hobbes is the oldest of the four ladies in the HBO series Sex and the City.
",False,True,,,False
1202,"All four ladies, Carrie, Miranda, Charlotte and Samantha, are happy and in love at the end of the HBO series Sex and the City.
",False,True,,,True
1203,"This character, portrayed by Candice Bergen, appeared in an episode of Sex and the City as Carrie Bradshaws editor in Vogue.
",Kyra,Phoebe,Margaret,Enid,Enid
1204,"In the final episode of Sex and the City, Charlotte and Harry, finally get a chance to adopt a baby, born in which country?
",Germany,France,China,Japan,China
1205,"Which season 4 episode of Buffy the Vampire Slayer was nominated for an Emmy?
",New Moon Rising,Hush,The Harsh Light Of Day,Reastless,Hush
1206,"What was the name of the musical episode of season 6 of Buffy the Vampire Slayer?
","Once More, With Feeling",Tabula Rasa,Hells Bells,Entropy,"Once More, With Feeling"
1207,"What creature was Oz in the TV series Buffy the Vampire Slayer?
",vampire,demon,werewolf,evil genius,werewolf
1208,"What is the name of the big bad in season 7 of Buffy the vampire Slayer?
",Glory,Caleb,The First,Adam,The First
1209,"Which character on Buffy the Vampire Slayer was played by actress Eliza Dushku?
",Faith,Buffy,Willow,Anya,Faith
1210,"Which character on Buffy the Vampire Player was originally a ball of green energy known as the Key?
",Anya,Tara,Cordelia,Dawn,Dawn
1211,"On Buffy the Vampire Slayer, Angel, played by David Boreanaz, is what kind of character?
",a vampire with a soul and Buffys ex-lover,a werewolf and Willows boyfriend,the person who kills Oz,a kitten eating demon,a vampire with a soul and Buffys ex-lover
1212,"What is the name of the stake given to Buffy by Kendra in the TV series Buffy the Vampire Slayer?
",Woody,Mr. Pointy,Mr. stabby,Vampire killing thingy,Mr. Pointy
1213,"Which of these is a nickname of the vampire character Spike, featured on Buffy the Vampire Slayer?
",Railroad Spike,William the Bloody,Spike the Tormentor,Bloody Spike,William the Bloody
1214,"What is the middle name of Buffy, the main character on Buffy the vampire Slayer?
",Abigail,Anne,Michelle,Amanda,Anne
1215,"Which band performs the theme song of Buffy the Vampire Slayer?
",Love Spit Love,Me First and the Gimme Gimmes,Nerf Herder,The Smiths,Nerf Herder
1216,"Who is the creator of the TV series Buffy the Vampire Slayer?
",Steven Spielberg,Chris Columbus,Oliver Stone,Joss Whedon,Joss Whedon
1217,"The TV series Buffy the Vampire Slayer was loosely based on a movie of the same name.
",True,False,,,True
1218,"Buffy the Vampire Slayer ran for how many seasons?
",9,10,14,7,7
1219,"In this country, all television broadcasting came to a complete halt during World War II, until programming was resumed on June 7, 1946.
",France,Germany,United States,England,England
1220,"After WW II and the Great Depression, fearing the possible outbreak of WW III, people in the US were afraid to spend their savings, thus bringing sales of television sets to a virtual halt.
",False,True,,,False
1221,"In 1954, Radio Corporation of America introduced the first all-electronic color TV set -- the CTC-100, boasting a 12-1/2 screen. What was its retail price?
","$1,000",$250,$500,$100,"$1,000"
1222,"In season three of TV series, Beverly Hills 90210, Brenda met in Paris this character, portrayed by actor Dean Cain.
",Rick,Steve,Stuart,Joe,Rick
1223,"This character, portrayed by Rebecca Gayheart, was Dylans wife in the TV series. Beverly Hills 90210.
",Valerie,Antonia,Carly,Suzanne,Antonia
1224,"This Beverly Hills 90210 character, portrayed by a 2005 Oscar award winner, was a single mother, who dated Steve.
",Claire,Carly,Jill,Susan,Carly
1225,"This character, played by Christine Elise, appeared on Beverly Hills 90210 as Brandons leather- wearing, motorcycle-riding girlfriend.
",Donna,Kelly,Emily,Valerie,Emily
1226,"This character, portrayed by Jamie Waters, appeared on the soap opera Beverly Hills 90210 in 1994, as Donnas abusive boyfriend.
",David,Steve,Joe,Ray,Ray
1227,"This character, portrayed by Dan Gauthier, appeared in BH 90210 as Steves drug-taking friend.
",Ray,Dick,Brandon,Scott,Dick
1228,"This character, portrayed by Matthew Perry, appeared in the earlier episodes of BH 90210, as an outstanding student and tennis star.
",Roger,Steve,Rob,Alan,Roger
1229,"This character, played by Grant Show, had a romance with Kelly in the TV series BH 90210. He later appeared on Melrose Place, which was a spin-off from Beverly Hills 90210.
",Jake,Matt,Mike,Randy,Jake
1230,"In Beverly Hills 90210, Steve met this character, played by Cary Grants daughter, on a dating game show.
",Celeste,Claire,Julie,Carly,Celeste
1231,"On the hit TV show Cheers, what was the middle name of bartender Woodrow Woody Boyd?
",Tiberius,Angus,Buford,Clem,Tiberius
1232,"When fictional character Sam Malone bought Cheers he hired as a bartender Ernie Pantusso, also known as Coach. When Ernie was a baseball player and coach, he was an expert in what?
",spitball,being hit by pitches,Infield Fake,stealing homeplate,being hit by pitches
1233,"Kelsey Grammer received three Emmy Awards for playing Frasier Crane on three different TV shows.
",False,True,,,True
1234,"Who was not one of the three original characters to appear in every episode of Cheers?
",Carla Tortelli,Sam Malone,Norm,Cliff Clavin,Cliff Clavin
1235,"Which of these was not one of Norms professions in the TV series Cheers?
",Accountant,Interior decorator,Banker,House painter,Banker
1236,"Kelsey Grammer has tied James Arness record for playing the same character for most seasons.
",True,False,,,True
1237,"In the comic strip Peanuts, Snoopy is Lucys watchdog.
",False,True,,,False
1238,"Whose brother is the popular cartoon character Charlie Brown?
",Corrinnes,Lucys,Sallys,Kristis,Sallys
1239,"One of Peanuts characters is named Pig-Pen because he smells badly and is always dirty.
",True,False,,,True
1240,"Is it true that Jim Carey took part in the writing of the Peanuts comic strips.
",Yes,No,,,No
1241,"Charles Schulz received the National Cartoonist Society Humor Comic Strip Award in 1955 for Peanuts.
",True,False,,,False
1242,"Which of these cartoon characters is one of Snoopys siblings?
",None of these,Lucy,Violet,Spike,Spike
1243,"What year was Sallys debut in the comic strip Peanuts?
",1959,1976,1998,1898,1959
1244,"Who is Linuss younger brother in the comic strip Peanuts?
",Schroeder,Pigpen,Rerun,Charlie Brown,Rerun
1245,"This  famous  TV actor  was considered a threat to John Wayne. He was supposedly taller, better looking , and more macho than The Duke.  He took the TV role and kept it for over 15 years.
",Jack Elam,James Arness,Brett Halsey,James Taylor,James Arness
1246,"William Shatner of Star Trek shared the first interracial kiss on TV.
",False,True,,,True
1247,"In 2005, Archie Bunker from the TV show All in the Family was named by Bravo the #1 television character of all time.
",True,False,,,True
1248,"What was the name of the prankster, who was one of Archie Bunkers best friends on All in the Family?
",Stew Cunningham,Stern Cunningham,Stretch Cunningham,Steve Cunningham,Stretch Cunningham
1249,"On the TV show All in the Family the Jeffersons were introduced as Archie Bunkers neighbors. What was the first name of George Jeffersons brother who appeared in a recurring role on the hit show?
",Henry,Herbert,Harold,Harvey,Henry
1250,"What was the first name of the woman with whom Archie Bunker nearly had an affair on the show All in the Family?
",Deborah,Denise,Dorothy,Dotty,Denise
1251,"What was the occupation of Archie Bunkers father according to the sitcom All in the Family?
",A milk man,Police Officer,Mailman,Railroad Conductor,Railroad Conductor
1252,"In an episode of All in the Family it was revealed that as a child Archie Bunker was abused by his father.
",False,True,,,True
1253,"What was the first name of Archie Bunkers brother on the sitcom All in the Family?
",Chuck,Billy,Fred,John,Fred
1254,"Archie Bunkers chair from the sitcom All in the Family can be seen in the American Television Hall of Fame and Museum in Hollywood, CA.
",True,False,,,False
1255,"What year did the hit television show Too Close For Comfort first hit the airwaves?
",1980,1975,1982,1987,1980
1256,"What was Henry Rushs profession on the hit television show Too Close For Comfort ?
",Janitor,Photographer,Mechanic,Cartoonist,Cartoonist
1257,"How many children did Henry and Muriel Rush have on the hit television show Too Close For Comfort?
",2,4,0,3,3
1258,"What was the name of Henrys hippie niece from Delaware who appeared on the television show 
",April,Venus,June,April,o Close For Comfort during the 1981-1982 season?
1259,"What college did Sara Rush attend on the popular show Too Close For Comfort?
",BYU,LSU,Berkley College,San Francisco State College,San Francisco State College
1260,"Who played Saras friend, Monroe Ficus in the TV series Too Close For Comfort?
",JM  J Bullock,Paul Lynde,Steve Guttenberg,Hank Azaria,JM  J Bullock
1261,"Audrey Meadows, who played Alice Kramden on The Honeymooners, was on the hit television show 
",True,True,False,,o Close For Comfort .
1262,"What was the name of the weekly newspaper that Henry Rush bought on the famous show Too Close For Comfort?
",The Marin Bugler,LA Tribune,California Times,San Francisco Herald,The Marin Bugler
1263,"The show Too Close For Comfort  was retitled The Ted Knight Show after the 1983 season.
",True,False,,,True
1264,"Who played Jackie Rush on the hit television show Too Close For Comfort?
",Deborah Van Valkenburgh,Johanna Fisher,Nancy Dussault,Mary Miller,Deborah Van Valkenburgh
1265,"Where was Robert Petrie, the main character on The Dick Van Dyke Show, born?
","New Rochelle, N.Y.","New York, N.Y.","Danville, ILL.","Redhook, N.J.","Danville, ILL."
1266,"What was Rob Petries job on The Dick Van Dyke Show, just before he was hired by Alan Brady?
",Stage Manager,Disc Jockey,Army Cook,Magazine writer,Disc Jockey
1267,"On The Dick Van Dyke Show, what is Ritchie Petries middle name?
",Tulip,Daisy,Rosebud,Petunia,Rosebud
1268,"Who was beating up Ritchie at school on The Dick Van Dyke Show?
",Joan Delroy,Prisilla Darwell,Paula Marshall,Valerie Blake,Prisilla Darwell
1269,"On The Dick Van Dyke Show, why did the Petries have a second marriage ceremony?
",Robs mother missed the original,Laura lied on their marriage licence,They got divorced in Mexico,It was their 10 wedding anniversary,Laura lied on their marriage licence
1270,"Which character on The Dick Van Dyke Show was Sallys perennial boyfriend?
",Harrison B. Harding,Herman Glimsher,Leo Fassbinder,Bert Monker,Herman Glimsher
1271,"What was Sallys cats name on The Dick Van Dyke Show?
",Mr. Bevedere,Mr. Henderson,Mrs. Henson,Mrs. Miniver,Mr. Henderson
1272,"On The Dick Van Dyke Show, what valuable item does Robs uncle leave him in his will?
",An oil painting of George Washington,An autograph of Thomas Jefferson,A letter written by Benjamin Franklin,A photograph of Abraham Lincoln,A photograph of Abraham Lincoln
1273,"What is Jerry Helpers occupation on the sitcom The Dick Van Dyke Show?
",Photographer,Optometrist,Plumber,Dentist,Dentist
1274,"The Petries from The Dick Van Dyke Show live at 148 Bonny Meadow Road.
",False,True,,,True
1275,"On The Dick Van Dyke Show, when Rob buys a painting at an auction, they discover a painting underneath the one seen at first and ruin the one on top in an attempt to restore the painting underneath. In the end the painting on the top they ruin turns out to be painted by whom?
",Winston Churchill,Frank Sinatra,Jimmy Stewart,Tony Curtis,Frank Sinatra
1276,"What is the name of the street in which Desperate Housewives takes place?
",Wisteria Lane,Elm Street,Wisteria Road,Mystery Lane,Wisteria Lane
1277,"In Desperate Housewives, what is Zach Youngs original name, given to him at birth?
",Mike,Jamie,Don,Dana,Dana
1278,"What actor plays the part of Andrew Van de Kamp in Desperate Housewives?
",Shawn Pryfrom,Doug Savant,Cody Kasch,Sean Pryfron,Shawn Pryfrom
1279,"In Desperate Housewives, what was Mikes wifes name?
",Diane,Angela,Susan,Dierdre,Dierdre
1280,"What object was used to kill Mrs. Huber in Desperate Housewives?
",blender,hammer,toaster,lamp,blender
1281,"In Desperate Housewives, how did Mary Alice die?
",overdose,murdered,naturally,suicide,suicide
1282,"What composer did the theme music for the show Desperate Housewives?
",Bon Jovi,Andrew Lloyd Webber,Danny Elfman,Mike Johnson,Danny Elfman
1283,"In Desperate Housewives season one, how many children does Lynette have?
",five,four,two,none,four
1284,"There were 25 episodes in the first season of Desperate Housewives.
",False,True,,,False
1285,"He starred in Disneys Old Yeller (1957) and played Lucas McCain in the classic television series The Rifleman.
",James Arness,Clint Eastwood,Chuck Conners,Lee Van Cleef,Chuck Conners
1286,"This ex NFL quarterback created a sensation by appearing on television commercials wearing pantyhose, and in a TV ad for Noxema Shaving Cream, he had a beautiful model lathering his face and saying Take it off...take it all off!
",Joe Namath,Bart Starr,Kenny Stabler,Johnny Unitas,Joe Namath
1287,"This famous entertainer goes by the nickname Mr. Las Vegas and is one of the very few people to be made an honorary Green Beret.
",Frank Sinatra,Elvis Presley,David Copperfield,Wayne Newton,Wayne Newton
1288,"Known as The Great One, this television legend also played Minnesota Fats in The Hustler and Sheriff Buford T. Justice in the Smokey and the Bandit movies. His grandson is actor Jason Patric.
",Jackie Gleason,Orson Welles,Jack Benny,Milton Berle,Jackie Gleason
1289,"Johnny Carson plays the part of a car salesman named Cheerful Charlie in a 1969 episode of Heres Lucy.
",True,False,,,False
1290,"This legendary beauty won Best Actress Oscars for Butterfield 8 (1960) and Whos Afraid of Virginia Woolf? (1966)
",Ingrid Bergman,Elizabeth Taylor,Sophia Loren,Lauren Bacall,Elizabeth Taylor
1291,"In high school, fictional character Al Bundy played this sport and led his team to a championship.
",Baseball,Hockey,Football,Basketball,Football
1292,"Which of the following is Al Bundys least favorite on the sitcom Married with Children?
",Having sex with his wife,John Wayne,Football,Beer,Having sex with his wife
1293,"What kind of car did TV character Al Bundy drive?
",73 Dodge Dart,76 Chevy Impala,75 Plymouth GTO,73 El Camino,73 Dodge Dart
1294,"What is the name of Al Bundys wife on the hit sitcom Married with Children?
",Pam,Gloria,Peg,Marcy,Peg
1295,"In which famous U.S. city do the Bundys reside on the TV show Married with Children?
",New York,Los Angeles,Boston,Chicago,Chicago
1296,"Which of these does fictional character Al Bundy love the most?
",Beer,His job,His family,The French,Beer
1297,"In the sitcom Leave It to Beaver, Wally dated three girls fairly regularly. Which one worked at the library?
",Mary Jane,Julie,Mary Ellen,Laurie Ann,Laurie Ann
1298,"What was Ward Cleavers occupation on the TV show Leave It to Beaver?
",School teacher,None of these,Lawyer,Paramedic,None of these
1299,"Did June Cleaver, the mother of two boys in the series Leave It to Beaver, drive a car?
",No,Yes,,,Yes
1300,"This character form the show Leave It to Beaver was Wally and Beavers favorite uncle.
",Uncle Billy,Uncle William,Uncle Jimmy,Uncle Bobby,Uncle Billy
1301,"On the show Leave It to Beaver, the boys favorite aunt lived about an hour away from the Cleavers. What was her name?
",Aunt Gladys,Aunt Mary,Aunt Edna,Aunt Martha,Aunt Martha
1302,"What was Wally and Beavers favorite meal of for dinner that June made occasionally in the series Leave It to Beaver?
",roast beef,roasted chicken,squab,pot roast,roast beef
1303,"In the TV series Leave It to Beaver, Wally took Julie Foster to which expensive restaurant?
",The White Horse,The White Fox,The White Rabbit,The White Tiger,The White Fox
1304,"In the popular sitcom Leave It to Beaver, Mary Ellens father was a teacher at the high school.
",True,False,,,False
1305,"Wally and Beaver, the two brothers on the show Leave It to Beaver, spent their train money on hot dogs and stuff and couldnt pay for the train ride home from their aunts house. Where did they tell the conductor she lived?
",In Belport,In a poor house,In an apartment in the city,In a nursing home,In a poor house
1306,"The Cleavers from Leave It to Beaver lived in what city?
",Mayfield,Mayberry,Mapletown,Mayport,Mayfield
1307,"Beaver and Wally from Leave It to Beaver baby-sat for a little girl who kept telling them she wanted to see Mary-Jane. What was Mary Jane?
",The park,The play-room,The bathroom,Her stuffed animal,The bathroom
1308,"On the show Leave It to Beaver, Beaver and Larry performed a magic trick on Benji, the little boy who lived down the street. They made Benji think they had turned Beaver into what?
",A tree,A bush,A dog,A rock,A rock
1309,"There were two old firemen in the series Leave It to Beaver that Beaver used to visit. What were their names?
",Larry and Gus,Gus and Charlie,Gus and Joe,Gus and Bill,Gus and Charlie
1310,"What did Eddie Haskel from Leave It to Beaver buy for himself with his service station credit card?
",A tire,A car battery,A sweater,A vest,A vest
1311,"On the show Leave It to Beaver, there was a haunted house in the neighborhood. What did Beaver do for the lady who lived in it?
",Shoveled her snow,Walked her dog,Mowed her lawn,None of these,Walked her dog
1312,"What were the names of Eddie Haskels parents in the series Leave It to Beaver?
",Archie and Betty,George and Alice,George and Eileen,George and Evelyn,George and Alice
1313,"One night Larry Mondello, a character from Leave It to Beaver, got sick when he stayed at Beavers house. What was the reason for this?
",He ate too much ice cream,He ate too many cookies,He ate too many candy bars,None of these,He ate too many candy bars
1314,"The show Welcome Back, Kotter ran from 1973 - 1977.
",False,True,,,False
1315,"In the TV series Welcome Back, Kotter, Sweathogs was the name given to the students in Mr. Kotters class.
",True,False,,,True
1316,"What was the name of Mr. Kotters wife on the show Welcome Back, Kotter?
",Jerri,Julie,Judy,Jenny,Julie
1317,"Marcia Strassman, the actress who played Mrs. Kotter on the show Welcome Back, Kotter was born in what city?
",New York City,Atlanta,Cincinnati,Denver,New York City
1318,"Which actor played Vinnie Barbarino in the TV series Welcome Back, Kotter?
",Ron Palillo,John Sylvester White,John Travolta,Robert Hegyes,John Travolta
1319,"On the sitcom Welcome Back, Kotter Ron Palillo played Arnold. What was Arnolds last name?
",None of these,Hoorshak,Horshack,Horsshaft,Horshack
1320,"Dustin Diamond who starred in Saved by the Bell beat Ron Palillo in a boxing match.
",True,False,,,True
1321,"What is the birth date of actor Lawrence-Hilton Jacobs who played Freddie Boom Boom Washington in the series Welcome Back, Kotter?
","September 31, 1955","September 5, 1955","September 4, 1953","September 4, 1954","September 4, 1953"
1322,"Which of these actresses played Rosalie Hotsy Totsy in Welcome Back, Kotter?
",Irene Arranga,Ellen Travolta,Helaine Lembeck,Debralee Scott,Debralee Scott
1323,"Which of these characters from Welcome Back, Kotter did Stephen Shortridge play?
",Gabe Kotter,Beau De Labarre,Mr. Michael Woodman,Juan Luis Pedro Phillipo de Huevos Epstein,Beau De Labarre
1324,"Did Florence Henderson star as the Brady mother in the The Brady Bunch sitcom?
",No,Yes,,,Yes
1325,"Robert Reed played Mitch Brady on The Brady Bunch series.
",False,True,,,False
1326,"Sherwood Schwartz played Sam Franklin on the popular American sitcom The Brady Bunch.
",True,False,,,False
1327,"The Brady Bunch TV Series ran from 1969-1974.
",False,True,,,True
1328,"Marcia Brady was played by actress Maureen McCormick on the Brady Bunch series.
",False,True,,,True
1329,"Character Jan Brady, played by Eve Plumb, only appeared in 69 episodes of the The Brady Bunch show.
",True,False,,,False
1330,"Barry Williams played the role of Peter Brady on the The Brady Bunch show.
",False,True,,,False
1331,"In The Brady Bunch, Ann B. Davis played the role of Aunt Alice Nelson, the housekeeper.
",False,True,,,False
1332,"Mike Lookinland appeared in 69 episodes of The Brady Bunch as Bobby Brady.
",False,True,,,True
1333,"The youngest Brady known as Cindy was played by Susan Olsen and she appeared in more episodes of the The Brady Bunch show than any other Brady character.
",True,False,,,False
1334,"What year did the hilarious sitcom Just Shoot Me first hit the airwaves?
",2000,1989,1997,1999,1997
1335,"What was Dennis Finchs middle name on the popular television show  Just Shoot Me?
",Jonas,Quimby,Darren,Cornelius,Quimby
1336,"The TV show Just Shoot Me focused on the staff of which fictional magazine?
",Blush,Q,Vanity Fare,Vogue,Blush
1337,"On the show Just Shoot Me, Dennis Finch, who went to Hudson River Junior College, was a member of what athletic team?
",Wrestling,Football,Baseball,Cheerleading,Cheerleading
1338,"What was the name of Jack Gallos daughter who worked for Blush magazine on the hit television show Just Shoot Me?
",May,Maya,Amanda,Amy,Maya
1339,"What was Nina Van Horns real name in the TV series Just Shoot Me?
",Johanna Fisher,Eileen Schwartz,Kerri Strug,Claire Noodleman,Claire Noodleman
1340,"Who was Mayas boyfriend on the show Just Shoot Me, who also worked for Blush magazine?
",Harvey,John,Dennis,Elliot,Elliot
1341,"Nina Van Horn, a character on the show Just Shoot Me, was a supermodel in the 70s. Who was the supermodel she said she used to live with?
",Janice Dickinson,Carol Alt,Twiggy,Cheryl Tiegs,Twiggy
1342,"In which city were the Blush magazine headquarters located on the hit show Just Shoot Me?
",San Francisco,New York City,Las Vegas,Los Angeles,New York City
1343,"What year did the famous television show Just Shoot Me leave the airwaves?
",2003,1999,2005,2001,2003
1344,"In The Fugitive Harrison Fords character killed his wife.
",False,True,,,False
1345,"The fictional A-Team did commit war crimes.
",False,True,,,False
1346,"In Primal Fear Edward Nortons character murdered the priest.
",False,True,,,True
1347,"Tim Robbins character in Shawshank Redemption killed his wife.
",False,True,,,False
1348,"In American History X, Edward Nortons character committed the felony assault he was convicted of.
",True,False,,,True
1349,"Brad Pitts character in Thelma and Louise committed fraud.
",False,True,,,True
1350,"Kevin Spacys character in The Usual Suspects did murder other gangsters.
",False,True,,,True
1351,"Wesley Snipes character in U.S. Marshals murdered U.S. Marshals.
",False,True,,,False
1352,"Kevin Spacys character in The Life of David Gale murdered his female friend and was executed for this crime.
",False,True,,,False
1353,"Gene Hackmans character in The Chamber did commit the murder that he was executed for.
",False,True,,,True
1354,"How many true sequels were there to the Frosty the Snowman Christmas special?
",1,3,2,0,2
1355,"June Foray is credited with voicing the little girl in the film Frosty the Snowman but it was another voice actress who actually did the part.
",True,False,,,True
1356,"What year did the hit television show Bosom Buddies first hit the airwaves?
",1977,1981,1980,1982,1980
1357,"What was the theme song for the classic 80s television show Bosom Buddies鈥?
",My Sharona by The Knack,Movin Out by Billy Joel,One Thing Leads To Another by The Fixx,My Life by Billy Joel,My Life by Billy Joel
1358,"What was the name of the hotel that the guys and gals lived in on the popular 80s television show Bosom Buddies?
",The Haven Motel,The Westway Hotel,Susan B. Anthony Hotel,The Grand Motor Inn,Susan B. Anthony Hotel
1359,"Who played the role of Kip Wilson/Buffy on the popular 80s television show Bosom Buddies鈥?
",Peter Scolari,Lyle Waggoner,Tom Hanks,William Ragsdale,Tom Hanks
1360,"Where did Kip and Henry work in the 80s television series Bosom Buddies鈥?
",In a cosmetic company,In an advertising agency,In McDonalds,In a shoe store,In an advertising agency
1361,"Who played the role of Henry Desmond/ Hildegarde on the sitcom Bosom Buddies?
",Peter Scolari,Tom Hanks,Larry Linville,James Remar,Peter Scolari
1362,"On the show Bosom Buddies Isabelle was played by actress Telma Hopkins. Before becoming an actress, Telma Hopkins used to be in the musical group Tony Orlando And Dawn.
",False,True,,,True
1363,"What television network carried the show Bosom Buddies鈥?
",CBS,ABC,WOR,NBC,ABC
1364,"What was the name of the company that Kip and Henry worked for on the hit television show Bosom Buddies?
",Livingston Gentry And Mishkin Advertising Agency,Freddie Pateks Ads Are Us,Wallace And MacQuade Shoe Store,Matt Houstons Audio Clips,Livingston Gentry And Mishkin Advertising Agency
1365,"What year did the television show Bosom Buddies leave the airwaves?
",1986,1982,1985,1981,1982
1366,"Which actor was originally offered the part of Sam Malone on Cheers?
",Fred Dwyer,Patrick Duffy,Tom Seleck,Dirk Bennedict,Fred Dwyer
1367,"What position did Cheers character Sam Malone play in the Major Leagues?
",Pitcher,Outfield,Catcher,First Base,Pitcher
1368,"Why did Cheers character Sam Malone have to end his baseball career?
",Shoulder Injury,Drug Addiction,Alcoholism,His Age,Alcoholism
1369,"What number did Sam Malone form Cheers wear when he played professional baseball?
",5,13,2,16,16
1370,"In what year was Cheers character Sam Malone born?
",1949,1950,1948,1951,1948
1371,"According to a Sports Illustrated article on Sam Malone, what was the number of strikeouts he got in his fictional baseball career?
",150,59,98,40,40
1372,"In the Disney film Lilo  Stitch, Stitch is the name of experiment 626.
",False,True,,,True
1373,"Which statement about Lilo, one of the main characters in Lilo  Stitch is true?
",She took a dog as a pet.,She took a ghost of 626.,She adopted Stitch even though Nani didnt like him.,She picked a dog first and then traded him for Stitch.,She adopted Stitch even though Nani didnt like him.
1374,"Stitch from the film Lilo  Stitch couldnt swim.
",False,True,,,True
1375,"In the film Lilo  Stitch, did Lilos parents pass away?
",Yes,No,,,Yes
1376,"Where did Lilo find Stitch in the animated movie Lilo  Stitch?
",at the pound.,under a truck,in a gutter.,at the zoo.,at the pound.
1377,"Pleakley from Lilo  Stitch dresses in womens clothing.
",False,True,,,True
1378,"In Lilo and Stitch, Lilo attends Hula school.
",True,False,,,True
1379,"The TV series The Wonder Years, created by Carol Black and Neal Marlens, focuses on which fictional family?
",The Arnolds,The Slaters,The Johnsons,The Kantwells,The Arnolds
1380,"In the TV series The Wonder Years, Kevins siblings are called Carol and Wayne.
",False,True,,,False
1381,"Where did Kevin and his girlfriend kiss for the first time in the pilot episode of The Wonder Years?
",in Wonder Woods,in Johnsons Woods,in Hanson Woods,in Harpers Woods,in Harpers Woods
1382,"The actresses who played Winnie Cooper and Becky Slater in the TV series, The Wonder Years are sisters in real life.
",False,True,,,True
1383,"The cover version of which song by the Beatles was featured as a theme tune on TVs, The Wonder Years?
",None of these,Yesterday,Imagine,With a Little Help from My Friends,With a Little Help from My Friends
1384,"In the TV dramedy The Wonder Years, Winnie Coopers brother was killed in Vietnam.
",False,True,,,True
1385,"This The Wonder Years character, portrayed by Josh Saviano, is Kevins lifelong best friend.
",Brian,Brad,Eric,Paul,Paul
1386,"What is the name of the junior high school teacher, with whom Kevin is infatuated?
",Miss Brown,Miss White,Miss Green,Miss Black,Miss White
1387,"What was Fran selling door-to-door on the TV show The Nanny when she first met the Sheffield family?
",Encyclopedias,Girl scout cookies,Aluminum siding,Cosmetics,Cosmetics
1388,"Who is Frans best friend on the sitcom The Nanny?
",Monica,Val,Sylvia,Buffy,Val
1389,"On the TV show The Nanny, Maxwell Sheffield is a music video producer.
",False,True,,,False
1390,"What is the name of Frans food-loving mother in the TV series The Nanny?
",Sylvia Fine,Kitty Montgomery,Joyce Summers,Frida Fine,Sylvia Fine
1391,"On the popular sitcom The Nanny, Fran and Maxwell got married in Niagara Falls.
",True,False,,,False
1392,"Which actress portrays Maxwells youngest daughter, Grace in the TV series The Nanny?
",Gretchen Wilson,Amber Benson,Nicolle Tom,Madeline Zima,Madeline Zima
1393,"What is the name of C.C. Babcocks dog on the popular TV show The Nanny?
",Chester,Princess,Spike,Harry,Chester
1394,"Did Barbra Streisand sing at Fran and Maxwells wedding on The Nanny?
",Yes,No,,,No
1395,"On the sitcom The Nanny, what is the name of Frans ex-fiance?
",Danny,Stewart,Ira,Michael,Danny
1396,"Nicolle Tom, who played Margaret (Maggie) Sheffield on The Nanny stared on ER as an intern for one season.
",False,True,,,False
1397,"Which sitcom stars Fran Drescher as a divorced mother, whose boyfriend is slightly older than her two children?
",The Fran Drescher Show,Living with Fran,Fran and Company,Shacking Up,Living with Fran
1398,"In this show, the bat Igor lived with his owner, Grandpa, and the rest of the family at 1313 Mocking Bird Lane.
",The Munsters,Eight is Enough,The Addams Family,The Brady Bunch,The Munsters
1399,"On Star Trek: The Next Generation, Lieutenant Commander Data has a pet cat named Speck 1987-1994.
",False,True,,,False
1400,"Salem, a warlock, sentenced to live as a black cat, was featured on which TV show?
",Bewitched,"Sabrina, the Teenage Witch",Charmed,Buffy the Vampire Slayer,"Sabrina, the Teenage Witch"
1401,"Which city was Trappers hometown according to the M*A*S*H series?
",Atlanta,Chicago,Philadelphia,Boston,Boston
1402,"According to the M*A*S*H series, Trapper John went to want famous University where he played football?
",Stanford,Yale,Harvard,Dartmouth,Dartmouth
1403,"Three actors actually have played the part of Dr. Trapper John McIntyre in all the M*A*S*H TV and film adaptations.
",True,False,,,True
1404,"Why did actor Wayne Rogers leave M*A*S*H and his character Trapper鈥 John after only the third season of the show?
",He needed more time with his family.,He had originally been offered equal billing to Hawkeye.,He had a better job offer.,He had medical issues.,He had originally been offered equal billing to Hawkeye.
