,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
1320,"What year did the movie My Big Fat Greek Wedding come out?
",2003,2001,2000,2002,2002
1321,"What does the last name of the main family in My Big Fat Greek Wedding mean?
",orange,pear,apple,grape,orange
1322,"What city is the movie My Big Fat Greek Wedding set in?
",Montreal,Philidelphia,Chicago,New York,Chicago
1323,"The main character in the movie My Big Fat Greek Wedding, Toula, has a father named Gus. He thinks Pine Sol will cure any illness and carries it around all the time, spraying it on wounds.
",True,False,,,False
1324,"What famous boy band alumni had a role in My Big Fat Greek Wedding?
",Joey Fatone,Nick Carter,Justin Timberlake,Nick Lachey,Joey Fatone
1325,"The actress who played Toula, Nia Vardalos, cast her husband in the movie My Big Fat Greek Wedding.
",True,False,,,True
1326,"Which of these ladies played the role of Shelby Eatenton-Latcherie in the movie Steel Magnolias?
",Dolly Parton,Julia Roberts,Daryl Hannah,Sally Feild,Julia Roberts
1327,"Which character from the movie Steel Magnolias delivered this memorable line?
",Clariee,Truvy,MLynn,Clariee,"l gay men have track lightin. And all gay men are named Mark, Rick, or Steve."
1328,"In what southern state is the movie Steel Magnolias set?
",Louisiana,Alabama,Georgia,Florida,Louisiana
1329,"In the movie Steel Magnolias, who does Annelle marry?
",Harvey,Sammy,Tommy,Spud,Sammy
1330,"What is the name of Jacksons aunt, who made one of their wedding cakes in the film Steel Magnolias?
",Nina,Ouiser,Shelby,Fern,Fern
1331,"In Steel Magnolias, during which holiday did Shelby announce she was expecting a baby?
",Christmas,Fourth of July,Halloween,Easter,Christmas
1332,"In what year was the film Steel Magnolias released?
",1987,1988,1990,1989,1989
1333,"In the beginning of the movie Steel Magnolias, what was Drum shooting at?
",bees,birds,squirrels,moles,birds
1334,"What are the names of Vince Vaughn and Jennifer Anistons and characters on the 2006 film The Break-Up?
",Graham and Gwen,Glen and Glenda,Greg and Gina,Gary and Brooke,Gary and Brooke
1335,"On the movie The Break-Up, where do Gary and Brooke first meet?
",At an art museum,In Central Park,At a baseball game,At a basketball game,At a baseball game
1336,"In what area is Garys occupation on the 2006 movie The Break-Up?
",Show business,Tour guide business,Art,Law,Tour guide business
1337,"On the movie The Break-Up, Brooke wanted Gary to bring home 13 lemons.
",False,True,,,False
1338,"After having the huge row after the family meal what does Gary purchase on the 2006 film The Break-Up?
",Art Museum,Car,Pool Table,Strip Club,Pool Table
1339,"On the film The Break-Up, when do Gary and Brooke鈥檚 friends conclude their relationship is over?
",At the games night,At the couple bowling night,At the baseball game,At an art gallery,At the games night
1340,"Brooke from the movie The Break-Up has two dates but they both go wrong. What happens?
",They both turn out to be gays.,They both are Garys brothers.,One has a wig on and the other is her sisters husband.,One tries to get her drunk and the other likes Gary.,One tries to get her drunk and the other likes Gary.
1341,"Where does Brooke want Gary to take her on the movie The Break-Up?
",Baseball game,Art museum,Opera,Ballet,Ballet
1342,"Do Gary and his brothers provide services by sea in their business?
",No,Yes,,,Yes
1343,"In the end of the 2006 movie The Break-Up, Gary and Brooke finally get back together.
",False,True,,,False
1344,"What year did the movie Adventures in Babysitting premiere?
",1985,1986,1988,1987,1987
1345,"In the movie Adventures in Babysitting what is the last name of Chris, the main character played by Elisabeth Shue?
",Smith,Jones,Parker,Thompson,Parker
1346,"In the comedy Adventures in Babysitting, Chris and the kids drive into Chicago to pick up Chris boyfriend.
",True,False,,,False
1347,"Chris friend Brenda threatens to spike her stepmother鈥檚 drink with what toxin in the comedy Adventures in Babysitting?
",Windex,Pine Sol,Clorox,Drano,Drano
1348,"In the movie Adventures in Babysitting, Chris and the kids are on the subway and are caught in the middle of a gang fight. Brad gets a knife stuck in his foot. How many stitches does he need?
",2,3,4,1,1
1349,"In the movie Adventures in Babysitting Chris is accused of being a centerfold from what mens magazine?
",Hustler,Maxim,Playboy,Penthouse,Playboy
1350,"In the movie Adventures in Babysitting Sarah likes the superhero Thor.
",True,False,,,True
1351,"At the end of the movie Adventures in Babysitting, what does Sarah leave in the back of Dans (the guy from the frat party) jeep?
",Her skates,Her backpack,Her blanket,Her candy bar,Her skates
1352,"The movie Superbad centers around two high school students trying to get laid before going to college.
",False,True,,,True
1353,"What is the name on Fogells fake ID in the comedy movie Superbad?
",Sting,Prince,Muhammad,McLovin,McLovin
1354,"When Seth, one of the main characters in the movie Superbad, was younger, he had an obsession with drawing what?
",Stars,Penises,Hearts,Butts,Penises
1355,"In the comedy film Superbad, Evan is going to attend Yale after he graduates from high school.
",True,False,,,False
1356,"Seth Rogen and Evan Goldberg wrote the movie Superbad and named the two main characters Seth and Evan.
",False,True,,,True
1357,"In the film Superbad, when Seth leaves a party, he has these filled up with beer because they are easy to carry.
",Bleech Containers,Bubble Bath Bottles,Laundry Soap Containers,Shampoo Bottles,Laundry Soap Containers
1358,"Who does Evan like in the film Superbad?
",Cindy,Becka,Natalie,Marry,Becka
1359,"In the movie Superbad, Seth gets spit on by a guy named Jesse who tells him that he is not invited to his party.
",False,True,,,True
1360,"In the film Superbad, Seth ended up getting an outfit from Evans dads closet for the party they were going to.
",False,True,,,True
1361,"What classic song does Willie sing during the opening credits to the movie Indiana Jones and the Temple of Doom?
",Oklahoma!,Anything Goes!,White Christmas,Thats Amore!,Anything Goes!
1362,"Where and when does the movie Indiana Jones and the Temple of Doom begin?
","Shanghai, China 1935","Tokyo, Japan 1933","Singapore, 1937","Hong Kong, China 1936","Shanghai, China 1935"
1363,"In Indiana Jones and the Temple of Doom, what two objects are Indiana Jones and Willie trying to get while the panicked crowd in the nightclub kick them around?
",A sacred relic and a diamond,a diamond and a tube of poison antidote,a map and a diamond,a gun and a ruby,a diamond and a tube of poison antidote
1364,"The only thing taken from the Indian Village where Indiana and Co. end up in Indiana Jones and the Temple of Doom is a missing Sacred Stone.
",False,True,,,False
1365,"What is the name of the three sacred stones Indiana Jones is searching for in the movie Indiana Jones and the Temple of Doom?
",The Pankot Stones,Shankara Stones,Sri Lanka Stones,The Temple of Caliph Stones,Shankara Stones
1366,"What is the name of the palace where Indiana Jones and Co. end up in the movie Indiana Jones and the Temple of Doom?
",New Delhi Palace,Pankot Palace,Shankara Palace,It has no name.,Pankot Palace
1367,"Which is NOT a course served at the banquet in which Indiana Jones and company take part in Indiana Jones and the Temple of Doom?
",Eye Ball Soup,Chilled Monkey Brains,Snake Suprise,Elephant tail shish-cabob,Elephant tail shish-cabob
1368,"Actor Dan Aykroyd of Saturday Night Live fame has a cameo in the movie Indiana Jones and the Temple of Doom.
",False,True,,,True
1369,"What 1957 movie about a Venusian invader called Ymir, had special effects done by legend Ray Harryhausen?
",Robot Monster,First Spaceship on Venus,20 Million Miles to Earth,Forbidden Planet,20 Million Miles to Earth
1370,"In what year did Attack of the Giant Leeches hit the movie screens?
",1955,1959,1953,1952,1959
1371,"What 1958 movie starring John Agar tells the story of a mad scientist who made a machine to shrink people?
",Planet of the Vampires,The Shrinking Gun,Land of the Giants,Attack of the Puppet People,Attack of the Puppet People
1372,"It Came from Beneath the Sea was a movie about a giant octopus that attacks New York.
",True,False,,,False
1373,"What California city is the setting for the 1953 Science Fiction classic Phantom from Space?
",San Diego,L.A.,Sacramento,Santa Monica,Santa Monica
1374,"Woody Woodpecker appeared in the 1950 sci-fi film Rocketship X-M.
",False,True,,,False
1375,"Did Rock Madison star in the 1951 sci-fi film Man Beast?
",No,Yes,,,No
1376,"What year was Roy Del Ruths movie The Alligator People released?
",1959,1955,1957,1956,1959
1377,"The 1973 movie Blackenstein used actual props from the 1931 film Frankenstein.
",False,True,,,True
1378,"The 1976 movie Carrie was based on a 1952 movie of the same name starring Laurence Olivier.
",False,True,,,False
1379,"The horror movie Dr. Jekyll  Sister Hyde was released in 1971.
",False,True,,,True
1380,"Ray Milland was nominated for an Oscar for his role in the 1972 movie The Thing with Two Heads.
",True,False,,,False
1381,"George Clooney had a role in the 1978 movie Attack of the Killer Tomatoes.
",True,False,,,False
1382,"William Shatner starred in this 1977 movie about a vet investigating the mysterious deaths of some farm animals.
",Kingdom of The Spiders,Ants,Aberration,Arachnophobia,Kingdom of The Spiders
1383,"Who is the villains henchman, in the movie The Man with the Golden Gun?
",Riff Raff,Nick Nack,Ding Dong,Bee Boom,Nick Nack
1384,"This character, played by Swedish actress Britt Ekland in The Man with the Golden Gun, is James Bonds female ally.
",Cindy Shortskirt,Mary Goodnight,Amy Hotbath,Jenny Trueheart,Mary Goodnight
1385,"Where is the villains mistress killed in the 1974 movie The Man with the Golden Gun?
",At a wrestling match,At a tennis match,At a judo match,At a kickboxing  match,At a kickboxing  match
1386,"This character, who chased villains in Live and Let Die, is the short-tempered U.S. sheriff in The Man with the Golden Gun?
",J.W. Pepper,J.W. Salt,J.W. Vinegar,J.W. Mustard,J.W. Pepper
1387,"What distinctive feature does the villain in The Man with the Golden Gun have?
",A third nipple,A sixth finger,A single nostril,A third eyebrow,A third nipple
1388,"The item that  the villain sent M in the film The Man With The Golden Gun was made where?
",Jakarta,Rangoon,Kuala Lumpur,Macau,Macau
1389,"Who is the villains mistress in The Man with the Golden Gun, who gets killed for having betrayed her lover to James Bond?
",Andrea Anders,Louisette  Doumergue,Vivian  Ratopek,Gisela  Mohnfeld,Andrea Anders
1390,"Who directed the film The Man with the Golden Gun?
",John Hough,Martin Campbell,William Friedkin,Guy Hamilton,Guy Hamilton
1391,"Which of the following is not the name of a kitten in The Aristocats?
",Toulouse,Marie,Berlioz,Duchess,Duchess
1392,"What is the name of the butler in The Aristocats?
",Jeeves,Andrew,Edgar,Albert,Edgar
1393,"What does the butler put into the cats night-time milk in the animated feature The Aristocats?
",sleeping pills,medicinal herbs,brandy,strychnine,sleeping pills
1394,"What were the names of the dogs that attacked the butler in The Aristocats?
",Lafayette and Napoleon,Boneparte and Gilligan,Gilbert and Lafayette,Napoleon and Boneparte,Lafayette and Napoleon
1395,"In The Aristocats, the butler is so scared of the dogs that he runs away leaving some items behind him. Which of the following did he not leave behind?
",His umbrella,His hat,His motorcycle sidecar,His overcoat,His overcoat
1396,"Thomas OMalley from the movie The Aristocats has more than one name. Which of these is one of his names?
",DeCasey,DeLaSoul,DeLacey,DeVilliers,DeLacey
1397,"What is the name of the mouse that helps the cats in The Aristocats?
",CamemBertie,Roquefort,LEclerc,Ratatouille,Roquefort
1398,"To whom did the butler confess that he had kidnapped the cats in The Aristocats?
",Abigail the goose,Frou Frou the horse,Georges the lawyer,Madame Bonfamille the retired opera singer,Frou Frou the horse
1399,"The cats meet a pair of geese, Abigail and Amelia, on their journey in the movie The Aristocats. What is the name of the pairs uncle?
",Arthur,Gander,Magoose,Waldo,Waldo
1400,"The cat family featured in The Aristocats stay the night in a house containing a band of cats. What is the name of the lead cat in the group?
",Hit Cat,Top Cat,Billy Bass,Scat Cat,Scat Cat
1401,"In the Aristocats, Thomas and the cats finally reach the mansion where the cat family lives only to be caught again by the butler. Where does he hide them after he puts them into a sack?
",In the loft,In an oven,In the stable,Under his bed,In an oven
1402,"What name does the mouse think belongs to Thomas OMalley in the film The Aristocats?
",OBrien,All of these,OGrady,OToole,All of these
1403,"In The Aristocats, after a big fight the butler is kicked into a trunk and locked inside. Where is the trunk going to be sent to?
",New York,Hollywood,Timbuktu,Australia,Timbuktu
1404,"What is the decoding machine called in the motion picture, From Russia With Love?
",Vektor,Sektor,Hektor,Lektor,Lektor
1405,"Who sang the theme song to the James Bond classic, From Russia With Love?
",Matt Monroe,Neil Sedaka,Bobby Vinton,Ricky Nelson,Matt Monroe
1406,"What device is used to spy on Istanbuls Soviet Embassy, in James Bonds From Russia With Love?
",Tape recorder,Hidden camera,Hidden microphone,Periscope,Periscope
1407,"James Bond travels on what train, in From Russia With Love?
",Western Pacific,Flying Scotsman,Orient Express,Mallard,Orient Express
1408,"What hired assassin is assigned to kill James Bond, in From Russia With Love?
",Max Zorin,Emile Locque,Donald (Red) Grant,Peter Franks,Donald (Red) Grant
1409,"In the motion picture From Russia With Love, what S.P.E.C.T.R.E. agent is an expert in chess?
",Gobinda,Whitaker,Fekkesh,Kronsteen,Kronsteen
1410,"Who leads the attack on the gypsy camp in the movie, From Russia With Love?
",Morzeny,Krilencu,Blofeld,Rosa Klebb,Krilencu
1411,"What Soviet female agent falls in love with James Bond, instead of killing him, in From Russia With Love?
",Anya  Amasova,Nadezhda Krupskaya,Tatiana Romanova,Olga Milyukova,Tatiana Romanova
1412,"What year did the original The Longest Yard first hit the movie theatres in the U.S.?
",1974,1980,1977,1971,1974
1413,"What is the last word that Charles Foster Kane utters before his death in the 1941 movie Citizen Kane?
",Rosebud,Buttercup,Blossom,Hyacinth,Rosebud
1414,"What Hollywood actress starred in the 1942 film Casablanca, ranked the second best movie of all time by the American Film Institute?
",Greta Garbo,Ingrid Bergman,Katharine Hepburn,Audrey Hepburn,Ingrid Bergman
1415,"What is the name of Dustin Hoffmans character in the 1967 movie The Graduate?
",Joseph Robinson,Carl Smith,Benjamin Braddock,Carter Robinson,Benjamin Braddock
1416,"How many Academy Awards did the 1939 film Gone with the Wind win out of 13 nominations?
",Ten,Two,None,Five,Ten
1417,"What actor portrayed Thomas Edward Lawrence in the 1962 movie Lawrence of Arabia?
",Alec Guinness,Anthony Quinn,Peter OToole,Omar Sharif,Peter OToole
1418,"During what historical period is the 1962 movie To Kill a Mockingbird set?
",The Great Depression,The Vietnam War,The Jazz Age,The Second World War,The Great Depression
1419,"What Hollywood actor and singer performed the song Singin in the Rain in the 1952 musical film Singin in the Rain?
",Frank Sinatra,Fred Astaire,Dean Martin,Gene Kelly,Gene Kelly
1420,"Who was the director of the 1975 movie One Flew Over the Cuckoos Nest?
",Martin Scorsese,Stanley Kubrick,Quentin Tarantino,Milos Forman,Milos Forman
1421,"The 1961 movie West Side Story was base on this play by William Shakespeare.
",A Midsummer Nights Dream,Othello,Much Ado About Nothing,Romeo and Juliet,Romeo and Juliet
1422,"In what part of Italy was Don Vito Corleone born in Francis Ford Coppolas 1972 film The Godfather?
",Venice,Sardinia,Sicily,Rome,Sicily
1423,"In the movie 鈥淧olice Academy鈥, Mahoney gets into a fight in the lunch room with two other cadets which gives the lieutenant the green light to finally throw him out of the academy. What is the name of the two cadets for which Mahoney has an altercation with?
",Hightower and Jones,Fackler and Reed,Copeland and Blankes,Tackleberry and Callahan,Copeland and Blankes
1424,"The original Saw movie was shot in 18 days.
",False,True,,,True
1425,"Which of the following traps was dubbed the most infamous trap used in the Saw movies and involved the character named Amanda?
",Rack trap,Reverse beartrap,Razor wire maze,Flammable Jelly,Reverse beartrap
1426,"What is the first trap seen in Saw II?
",furnace,shotgun collar,death mask,needle pit,death mask
1427,"In Saw III the shotgun collar was one of Jeffs tests.
",False,True,,,False
1428,"Actor Tobin Bell, who portrayed the serial killer Jigsaw, used a dummy for his bathroom scenes in the original Saw movie.
",False,True,,,False
1429,"In Saw II, the needle pit test was meant for which character?
",Xavier,Gus,Amanda,Obi,Xavier
1430,"In Saw III, the classroom trap, the first trap we see, involves which character?
",Troy,Jeff,Amanda,Kerry,Troy
1431,"In the first Saw movie, the character named Mark, committed workmans comp fraud.
",False,True,,,True
1432,"What were the names of the tests that Jeff was given in Saw III?
","classroom, angel, rack","intestine pool, flammable jelly, razor wire maze","needle pit, furnace, razor box","rack, freezer room, intestine pool","rack, freezer room, intestine pool"
1433,"The Razor box trap in Saw II was meant for Gus.
",False,True,,,True
1434,"Why was Timothy in the Rack trap in Saw III?
",He killed his wife.,He was an escaped convict.,He was responsible for the death of Jeffs son.,He fled the scene of a crime.,He was responsible for the death of Jeffs son.
1435,"What 1999 movie is this excerpt from?
",h Ketchum: Hungry. Need food. ,"sty: Oh, Ash! You havent done a thing all day! ","h Ketchum: Im too weak to work, Misty. I havent eaten since breakfast. ","ock: This lunch is going to be just perfect for you, Ash. Its my lazy-boy no-chew stew.","rrator, Mewtwo: Today, Ash, Brock and Misty are taking a break from their * adventures. As always, Ash is determined to become a * master. And, as always, hes ready to endure any hardship, bear any burden... with strength, stamina and a will of steel.  "
1436,"The following conversation is from the 1983 movie Bad Boys.
",rcus Burnett: But I-... ,"ptain Howard: Youre him, I dont wanna hear it, youre him. And you, youre you, you be you, but not in front of her. Youre him, youre you.",False,False,"ptain Howard: Until then, until then, you are Mike Lowrey, you be him, thats what you are, youre him. "
1437,"Which movie that hit the big screen in 1979 included the following lines?
",llard: Terminate the Colonel? ,"neral Corman: Hes out there operating without any decent restraint, totally beyond the pale of any acceptable human conduct. And he is still in the field commanding troops. ",vilian: Terminate with extreme prejudice. ,"lonel Lucas: You understand Captain that this mission does not exist, nor will it ever exist.","lonel Lucas: Your mission is to proceed up the Nung River in a Navy patrol boat. Pick up Colonel Kurtzs path at Nu Mung Ba, follow it and learn what you can along the way. When you find the Colonel, infiltrate his team by whatever means available and terminate the Colonels command. "
1438,"This exchange is from the 1983 movie The Return of the Living Dead.
","n: Oh, hell! Any good five men could do that! ","rry Cooper: Thats my point! Theres not going to be five, or even ten! Theres going to be twenty, thirty, maybe a hundred of those things, and as soon as they find out were here, this placell be crawling with them! ","n: Well, if theres that much, theyll probably get us wherever we are.",False,rry Cooper: Did you hear me when I told you they turned over our car? 
1439,"This dialogue is from the 1941 movie CItizen Kane.
","ompson: No, I dont think so; no. Mr. Kane was a man who got everything he wanted and then lost it. Maybe Rosebud was something he couldnt get, or something he lost. Anyway, it wouldnt have explained anything... I dont think any word can explain a mans life. No, I guess Rosebud is just a... piece in a jigsaw puzzle... a missing piece.",True,True,False,"male reporter: If you couldve found out what Rosebud meant, I bet that wouldve explained everything. "
1440,"These lines can be heard in what 1964 movie starring Sean Connery?
","mes Bond: Uh, just a drink. A martini, shaken, not stirred.",Goldfinger,The Man with the Golden Gun,Goldfinger,"i-Lei: Can I do anything for you, Mr. Bond? "
1441,"This is from which Will Smith movie?
",ristopher: All right. ,"ristopher Gardner: You got a dream... You gotta protect it. People cant do somethin themselves, they wanna tell you you cant do it. If you want somethin, go get it. Period.",The Pursuit of Happyness,Men in Black,ristopher Gardner: Hey. Dont ever let somebody tell you... You cant do something. Not even me. All right? 
1442,"On what planet does Episode V:  The Empire Strikes Back begin?
",Tatooine,Hoth,Endor,Coruscant,Hoth
1443,"Who is Gold Leader in the Battle of Endor in Episode VI:  Return of the Jedi?
",Luke Skywalker,Lando Calrissian,Han Solo,Admiral Ackbar,Lando Calrissian
1444,"Who directed Episode V:  The Empire Strikes Back?
",None of the above,George Lucas,Irvin Kershner,Steven Spielberg,Irvin Kershner
1445,"In what scene does George Lucas make his appearance in Episode III: Revenge of the Sith?
",In the Jedi Council chamber,At the Opera House,On Mustafar,On General Grievous ship,At the Opera House
1446,"Who does Jett, George Lucas son, play in Episode III:  Revenge of the Sith?
",a clone trooper,General Grievous,Nute Gunray,Zett Jukassa,Zett Jukassa
1447,"Who is the first of the murderers of Eric and Shelly to be killed by the Crow in the self-titled movie?
",Fun Boy,T-Bird,Skank,Tin Tin,Tin Tin
1448,"In the movie The Crow, which of these is the bar of Top Dollar, one of Eric and Shellys murderers?
",The Split Crow,Bloody Nails,Club Trash,Thrash Party,Club Trash
1449,"What are the missing words in this quote by villain T Bird, a character in The Crowd: You know, ____ ____ actually caught on fire once from all the crap floating around in it. I wish I couldve seen that.
",Lake Michigan,London Bridge,Lake Erie,Brooklyn Bridge,Lake Erie
1450,"What was the name of Eric and Shellys cat in the film The Crow?
",Atilla,Gabriel,Mystic,Felix,Gabriel
1451,"Besides screaming, what were villain Skanks last words in The Crow?
",Skanks dead!,Fire it up!,"Abash the devil stood, and felt how awful goodness is.",Ill kill you!!!,Skanks dead!
1452,"The following line belongs to which character from The Crow: Our friend T-bird wont be joining us this evening on account of a slight case of death.?
",Funboy,Top Dollar,Tin Tin,Eric Draven,Top Dollar
1453,"Brandon Lee was killed during the shooting of the film The Crow while doing what scene?
",a guns blazing scene,a police chase scene,a flashback scene,a roof stunt,a flashback scene
1454,"Which of these characters was cut from the film The Crow, after being initially storyboarded?
",The Devil,Skull Cowboy,Grim Reaper,The band Hang Mans Joke,Skull Cowboy
1455,"What date was The Crow movie released?
","January 13, 1994","October 15, 1994","May 13, 1994","June 6, 1994","May 13, 1994"
1456,"Who was Top Dollars right hand man in The Crow?
",Shades,Markus,Grange,Lau,Grange
1457,"In The Crow movie, what song is playing in the scenes where Eric is leaping from rooftop to rooftop?
",Burn - The Cure,COlor me once - Violent Femmes,Dead Souls - Nine Inch Nails,Big Empty - Stone Temple Pilots,Dead Souls - Nine Inch Nails
1458,"Which character from The Raven says the line, Dont you ever fuckin die? when he confronts Eric Draven?
",Top Dollar,T-Bird,Funboy,Gideon,Funboy
1459,"In the movie The Crow, the wedding ring Eric was looking for was hidden where in Gideons pawn shop?
",In the back room,In the metal box underneath the shelf,In a pouch on the wall,In a secret niche in the floor,In the metal box underneath the shelf
1460,"In the movie The Crow, who says the line Childhoods over the moment you know youre gonna die.?
",Officer Albrecht,T-Bird,Top Dollar,Grange,Top Dollar
1461,"In the film The Crow, what is the relation between Top Dollar and Myca?
",Husband and wife,Brother and sister,Boss and employee,None,Brother and sister
1462,"Which character from the movie The Crow delivered the following words: Caw! Caw! Bang! Fuck, Im dead!鈥?
",Tin Tin,T Bird,Skank,Top Dollar,Top Dollar
1463,"We learn from the film The Crow that Sarah likes her eggs done how?
",Hard-boiled,Over easy,Scrambled,Sunny side up,Over easy
1464,"In which city does the action in the movie The Crow  take place?
",Seattle,New York,None of these,Detroit,None of these
1465,"What is the correct order of the years of release of the Alien movies?
","1978, 1986, 1995, 1997, 2004","1978, 1984, 1991, 1996, 2003","1979, 1986, 1992, 1997, 2004","1977, 1986, 1993, 1997, 2002","1979, 1986, 1992, 1997, 2004"
1466,"Just one can kill seven is a catch phrase from which Alien movie?
",Alien,Alien Resurrection,Alien 3,Aliens,Alien
1467,"What was the name of the planet that Ripley landed on in Alien 3?
",Auriga 5,Saturn 3,Nostromo 121,Fiorina 161,Fiorina 161
1468,"Lance Henriksen stars in all the Alien movies.
",False,True,,,False
1469,"Which Alien film was not nominated for an Oscar in any category?
",Aliens,Alien,Alien Resurrection,Alien 3,Alien Resurrection
1470,"No stand-ins were used in Alien - the actual actors were in every scene of the movie.
",False,True,,,False
1471,"The first draft of Alien 3 is the one that was filmed.
",True,False,,,False
1472,"Winona Ryders character in Alien Resurrection was Callie.
",True,False,,,False
1473,"Who played the part of Vada, one of the main characters in the movie My Girl?
",Jaime Lee Curtis,Anna Chlumsky,Terry Chiffer,Emma Galsten,Anna Chlumsky
1474,"Who portrayed Thomas J., Vadas best friend in the movie My Girl?
",Trey Hayden,Andrew Petton,Gavin Renolds,Macaulay Culkin,Macaulay Culkin
1475,"In the movie My Girl, where do Harry and Shelley go on their first date?
",to play BINGO,to the drive-in,to the carnival,to the park,to play BINGO
1476,"In the film My Girl, what did Vada swear was stuck in her throat?
",chewing gum,lemon seed,chicken bone,corn cobb,chicken bone
1477,"What was the name of Vadas uncle in My Girl, who had a steel plate put in his head?
",Dave,Archie,Les,Phil,Phil
1478,"Although the movie My Girl was set in the summer of 1972, it was released in this year.
",1993,1990,1991,1992,1991
1479,"In the movie My Girl, what was Thomas J. looking for in the woods when he died from an allergic reaction to bee stings?
",Vadas ring,his bike,Vadas bike,his glasses,Vadas ring
1480,"Who told Vadas dad, Harry, about Thomas J.s death in the movie My Girl?
",Thomas mother,a police officer,a nurse,Shelley,a police officer
1481,"In the movie My Girl, when Vada attends her writing class for the last time, she reads a poem. What is it about?
",school,Thomas J.,ice cream,her father,Thomas J.
1482,"What a sweet lady!  She loves Paul Sheldons novels and NEVER uses canned tomatoes in her meatloaf. As Annie Wilkes tells Paul Sheldon Theres nothing to worry about. Youre going to be fine. Im your number one fan. What actress swings a mighty mean sledgehammer in this film based on a Steven King novel?
",Glenn Close,Sharon Stone,Judi Deitch,Kathy Bates,Kathy Bates
1483,"All work and no play makes Jack a dull boy. All work and no play makes Jack a dull boy. All work and no play makes Jack a dull boy. All work and no play makes Jack a dull boy. All work and no play makes Jack a dull boy. All work and no play makes Jack a dull boy. All work and no play makes Jack a dull boy. All work and no play makes Jack a dull boy. All work and no play makes Jack a dull boy. What actor wrote these words?
",Jack Nicholson,Gene Hackman,Robin Williams,Richard Gere,Jack Nicholson
1484,"Mobster and monster, Cody Jarrett, went out in a blaze of glory, literally. In what movie does Cody Jarrett declare Made it, Ma, top of the world! just before the gas tank he is sitting on explodes?
",White Heat,Casablanca,Public Enemy,The Third Man,White Heat
1485,"In the film What About Bob?, Bob Wiley (played by Bill Murray) has been dropped by a number of psychiatrists because of his neediness level. After Bobs first appointment with Dr. Marvin (played by Richard Dreyfuss), what does Dr. Marvin do?
",takes a valium,calls and yells at his colleague who pawned Bob off on him,tells Bob hes going on vacation,tells Bob to get another psychiatrist,tells Bob hes going on vacation
1486,"When Bob from the movie What About Bob? is on the bus to go to Lake Winnipesaukee in New Hampshire, what does he have around his neck?
",his goldfish Gil in a glass jar,some garlic cloves in a bottle,his lucky rabbits foot,a container of antibacterial soap,his goldfish Gil in a glass jar
1487,"Dr. Marvins family featured in the movie What About Bob? really likes Bob Wiley. What does Dr. Marvins daughter Anna invite Bob to do with her?
",go to a father-daughter dance,go to the zoo,go sailing with her and her friends,go to a fair,go sailing with her and her friends
1488,"In What About Bob, after Bob Wiley has dinner with the Marvin family and torments Dr. Marvin further by making weird noises through dinner, the family asks him to stay the night because its storming outside. Bob rooms with Sigmund, who instantly bonds with Bob. What disease do they talk about?
",Tourettes syndrome,appendicitis,OCD,ADHD,Tourettes syndrome
1489,"After the interview, Dr. Marvin from the movie What About Bob? tries to get rid of Bob by calling a fellow psychiatrist and convincing her to have Bob committed. When she calls Dr. Marvin back to the institution to pick up Bob, after just a few minutes of being there, what is Bob doing with the doctors?
",wrestling,telling jokes,watching TV and laughing,discussing certain medicines and their effects,telling jokes
1490,"What happens to Dr. Marvin on the way back home from the institution in What About Bob?, after he dumps Bob off and strands him in the middle of nowhere?
",His car tire gets punctured.,He gets a speeding ticket.,all of these,A vehicle drives by and splashes mud all over him.,all of these
1491,"In the movie What About Bob?, what does Dr. Marvin do to Bob in order to finally get rid of him?
",takes Bob out on the boat and tries to drown Bob by pushing him out of the boat,hires a hitman to kill Bob,locks Bob up in the institution again by telling lies about Bob,ties 20 pounds of dynamite around Bob and leaves him in the woods,ties 20 pounds of dynamite around Bob and leaves him in the woods
1492,"In What About Bob?, when Dr. Marvin finally gets home, the family treats him to a surprise birthday party. What does Dr. Marvin see that pushes him over the edge?
",Bob carrying the cake and licking the frosting,Bob with his arms around Dr. Marvins kids,"Bob with his arm around Dr. Marvins sister, Lily",Bob opening one of Dr. Marvins presents,"Bob with his arm around Dr. Marvins sister, Lily"
1493,"At the end of the What About Bob movie, Bob marries Lily, (Dr. Marvins sister) and then becomes a psychologist himself, writing a book called Death Therapy.
",False,True,,,True
1494,"What year did the film What About Bob? come out?
",1987,1989,1991,1993,1991
1495,"Actor Johnny Crawford was born March 26, 1947.
",False,True,,,False
1496,"The Rifleman was one of the TV westerns Johnny Crawford starred in.
",False,True,,,True
1497,"Johnny Crawford was born in Las Vegas, Nevada.
",False,True,,,False
1498,"Johnny Crawford was once a Mouseketeer for Walt Disney.
",False,True,,,True
1499,"Johnny graduated from Hollywood High School in 1964.
",False,True,,,True
1500,"Johnny starred in the movie Indian Paint.
",True,False,,,True
1501,"On The Rifleman series, Johnny Crawford鈥檚 characters name was Matt.
",False,True,,,False
1502,"Johnny Crawford released an album in 1995.
",False,True,,,True
1503,"Johnny Crawford never received an Emmy nomination.
",False,True,,,False
1504,"It is said that Johnny Crawford used to take his horse with him on personal tours.
",True,False,,,True
1505,"What type of ship is seen moving through space at the beginning of the movie, The Empire Strikes Back?
",Tie Fighter,Imperial Star Destroyer,Death Star,Rebel Transport,Imperial Star Destroyer
