,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
200,"This biblical heroine hid two Israelite spies in her house under stalks of flax.
",Leah,Rehab,Naomi,Rachel,Rehab
201,"In the Bible, this woman gave birth to male twins and as she was in labor the twins jostled each other, one babys hand grasping the heel of the other infants foot.
",Rachel,Rebekah,Leah,Hagar,Rebekah
202,"This Biblical woman poured perfume on Jesus feet and wiped them with her hair.
",Mary,Keturah,Samaritan woman,Sarah,Mary
203,"According to the Bible, this woman became a widow and decided to live with her mother-in-law instead of going home to her family. She then married Boaz.
",Ruth,Naomi,Oprah,Esther,Ruth
204,"Which of these architects designed St. Peters Basilica in Rome?
",Carlo Marchionni,Donato di Niccol貌 di Betto Bardi,Michelangelo di Lodovico Buonarroti Simoni,Gian Lorenzo Bernini,Carlo Marchionni
205,"Raphael Santi was the original architect of the Chigi Chapel but Gian Bernini finished it, after Raphael became a father.
",False,True,,,False
206,"St. Peters Basilica is both the Popes principal church and his official ecclesiastical seat.
",False,True,,,False
207,"The Temple of Vespasian was begun by Titus after whose death?
","his brother-in-law, Jesus","his father, Vespasian","his brother, Domitian","his best friend, Tiberius","his father, Vespasian"
208,"Following Michelangelos death, his student, Giacomo della Porta continued with the unfinished portions of Palazzo Farnese.
",False,True,,,True
209,"Did Leonardo Da Vinci design the facade for the church of Santa Bibiana.
",No,Yes,,,No
210,"When Michelangelo was still an apprentice, he made an imitation of a famous Roman statue that was sold in Rome as an ancient Roman original. What was the name of the original statue?
",Cherubini,Bacchus,Il Putto Dormiente,Moses,Il Putto Dormiente
211,"All originals of Leonardo da Vincis Leda and the Swan have been either lost or destroyed.
",False,True,,,True
212,"How  many books are in the Torah?
",18,5,21,10,5
213,"Jason Marquis (Cardinals), Shawn Green (Arizona),and Brad Asmus (Houston) are all Jewish.
",True,False,,,True
214,"What was the only automobile brand named after a Jew?
",Oldsmobile,Citroen,Duesenberg,Auburn,Citroen
215,"Which of these great home run hitters was Jewish?
",Tony Gwynn,Hank Greenberg,Jimmy Foxx,King Kong Keller,Hank Greenberg
216,"Except for Saturday, how many times a day must an Orthodox Jew pray?
",19,3,1,5,3
217,"On front of the home of every Jew, there is a special decoration or religious symbol. It is also found inside the home at very doorpost and every gate. In each one, there are three sections of the (Old) Testament.  What do we call these religious objects?
",Moshiach,Mohels,Mezzuzas,Torahs,Mezzuzas
218,"On Columbus first trip to the new world, many Jews were employed by Columbus. What was the highest job held by a Jew?
",Weatherman,Translator,Treasurer,Supply commander,Translator
219,"What religious article must every unmarried Jewish woman wear?
",Red String,Star of David,None,Fringes,None
220,"In Judaism locusts are kosher, which means that they are allowed to be eaten.
",True,False,,,True
221,"In every synagogue, in every country in the world, there are the same number of statues. How many?
",10,5,0,3,0
222,"According to the Bible, God forbade Adam and Eve to eat the fruit of the apple tree.
",False,True,,,False
223,"Who is the first human who murdered a human according to the Bible?
",Eve,Cain,Adam,Abel,Cain
224,"According to the Book of Revelation, there are angels of the Devil.
",True,False,,,True
225,"It is written in the Bible, that false Christs and prophets will arise and will show great signs and wonders.
",False,True,,,True
226,"According to Christian theology, Jesus Christ is a person with an entirely human nature.
",False,True,,,False
227,"What Biblical figure built an ark on top of a mountain?
",Moses,Jacob,Noah,Joseph,Noah
228,"What Biblical hero split the sea so that he and his people could go across?
",Noah,Joseph,Jacob,Moses,Moses
229,"What does the name Moses mean according to the Bible?
",Prince of Egypt,taken from the water,beautiful,sour,taken from the water
230,"How many books are there in the Bible?
",64,65,59,66,66
231,"How many times a year is a healthy, adult Jew required to fast?
",0,13,6,2,6
232,"Historically, Golda Meir was the first female Jewish leader.
",False,True,,,False
233,"What is the subject of the first Book of the  Talmud ?
",There is no first book,Blessings,Civil Torts,Shabbat,Blessings
234,"It is considered that the Jewish Golden Age occurred in this country.
",Spain,France,Israel,India,Spain
235,"In 1776, when we Jews declared themselves free from England, which British colony had the most Jews?
",Union of South Africa,Australia,Jamaica,Canada,Jamaica
236,"On the holy day, Simchat Torah, Jews finish reading the five books of the Torah and do what immediately after?
",Throw a party,Start again,Discuss the days events,Have a meal,Start again
237,"Jews build temporary huts for this holy day.
",Hannukah,Yom Kippur,Sukkot,Rosh Hashannah,Sukkot
238,"What does the Hebrew expression Mazel Tov mean?
",Have a great day,Have an easy fast,Sorry,Good luck,Good luck
239,"The Jewish calender is a lunar calender.
",False,True,,,True
240,"Judaism divides The Old Testament into three parts, called this in English.
","Torah, Pentatuch, Prophets","Torah, Histories, Pentatuch","Torah, Prophets, Wisdom Literature","Torah, Chronicles, Major Prophets","Torah, Prophets, Wisdom Literature"
241,"In what book of The New Testament was John the Baptist beheaded?
",John,Luke,Mark,Matthew,Matthew
242,"In The New Testament, Romans was written by the apostle Paul.
",True,False,,,True
243,"How many books are in the New Testament?
",25,27,20,31,27
244,"It is believed by many that the Gospel of Luke is the most beautiful book ever written.
",False,True,,,True
245,"Which of the laws in  the Ten Commandments of the New Testament is conceived to be the greatest one?
",Honor your father and your mother,You shall not steal,"Love the Lord with all your heart, soul and mind",Love your neighbor as yourself,"Love the Lord with all your heart, soul and mind"
246,"In the New Testament, Acts is the next book after Romans.
",False,True,,,False
247,"What is the third book of the New Testament?
",Mark,Matthew,Jonh,Luke,Luke
248,"What did Jesus do to the man with leprosy, according to The New Testament?
",ignored him,gave him medicine,prayed for him,touched him and cured him,touched him and cured him
249,"Paul is acknowledged as the author of  First Epistle to the Corinthians book in The New Testament.
",True,False,,,True
250,"In which book of The New Testament is the following passage found Ask and it will be given to you;seek and you will find;knock and the door will be opened to you?
",Psalms,Matthew,Acts,Luke,Matthew
251,"What was the name of Abrahams wife according to the book of Genesis?
",Rebekah,Rachel,Leah,Sarah,Sarah
252,"In the book of Genesis, how old was Abraham when Isaac was born?
",101 years old,95 years old,100 years old,99 years old,100 years old
253,"Isaac was Abrahams first son according to the Torah.
",False,True,,,False
254,"What was the name of Isaacs wife according to the book of Genesis?
",Leah,Rachel,Sarah,Rebekah,Rebekah
255,"The book of Genesis tells that when Esau and Jacob were born, Jacob grabbed hold of what?
",Esaus hand,Esaus hair,Esaus heel,Esaus food,Esaus heel
256,"According to the Torah, what did Esau trade his birthright with Jacob for?
",Bread and wild game,Bread and vegetables,Bread and lentil stew,Manna,Bread and lentil stew
257,"Who was Jacobs first wife in the book of Genesis?
",Leah,Sarah,Rebekah,Rachel,Leah
258,"How many years did Jacob have to work for each of his wives according to the Torah?
",3 years each,7 years each,1 year each,14 years each,7 years each
259,"Who founded the Scientology philosophy and religion?
",L. Ron Hubbard,Marion Davis,Jason Beghue,Judson Lord,L. Ron Hubbard
260,"This actor, who made it big as a high school gang member, delivering paint and flying airplanes, is one of the most famous Scientologists.
",Hayward Nelson,John Travolta,Christian Slater,Brad Pitt,John Travolta
261,"Which of these voice actors/actresses from The Simpsons series, is a Scientologist?
",Dan Castellaneta,Nancy Cartwright,Hank Azaria,Harry Shearer,Nancy Cartwright
262,"These two brothers are Scientologists who acted on famous comedy sitcoms. One was on That 70s Show and the other one was the oldest brother on Malcolm in the Middle. What is their last name?
",Prepon,Masterson,Ribisi,Kidman,Masterson
263,"Which Scientologist played the wife of 鈥淭he King of Queens?
",Juliette Lewis,Mimi Rogers,Ann Archer,Leah Remini,Leah Remini
264,"Lisa Marie Presley and her mother Priscilla Presley are both Scientologists.
",True,False,,,True
265,"Which of these musicians is not a Scientologist?
",Chick Correa,Beck,Brandy,Michael Bolton,Michael Bolton
266,"What Scientologist started the EST movement?
",David Miscavige,Werner Erhard,Greta  Van Susteren,Sonny Bono,Werner Erhard
267,"What was Operation Snow White?
",An attempt by Scientology to gain publicity by hiring writers to give it a better image,An attempt by Scientology to infiltrate the US government,An attempt by Scientology to gain new members by holding events in several large cities in the USA and Canada,Anattempt by the IRS to get back taxes from the main Scientology group,An attempt by Scientology to infiltrate the US government
268,"The title of what book in the Bible means departure?
",Lamentations,Exodus,Genesis,Deuteronomy,Exodus
269,"Deuteronomy, the title of the fifth book of the Hebrew Bible, means second law.
",True,False,,,True
270,"What is the meaning of the book title Genesis?
",God,man,beginning,creation,beginning
271,"Does The Book of Numbers from the Old Testament begin with the numbering of the people in Sinai?
",No,Yes,,,Yes
272,"What book in the Bible was named after the successor of Moses?
",Isaiah,Ezekiel,Joshua,Jeremiah,Joshua
273,"Where can you find the story of Adam and Eve?
",Book of Jeremiah,Book of Genesis,Book of Lamentations,Book of Exodus,Book of Genesis
274,"The story of Moses birth can be found in the Book of Deuteronomy.
",True,False,,,False
275,"Was Moses still alive in the Book of Numbers?
",Yes,No,,,Yes
276,"What was the age of Joshua (Moses successor) when he died?
",120 years old,105 years old,110 years old,115 years old,110 years old
277,"Which 10th century Ashkenazi Rabbi outlawed polygamy?
",Rabbi Levi Ben-Meir,Rabbi Judah,Rabbi Gershom,Rabbi Feinstein,Rabbi Gershom
278,"The first international Jewish athletic competition, known as Maccabiah Games, was held in what year?
",1896,1964,1932,1956,1932
279,"What is the name of the collection of stories, legends, and allegorical interpretations of the Hebrew Bible Tanach?
",Gemara,Midrash,Kislev,Mishnah,Midrash
280,"The first day of the Jewish New Year, Rosh Hashanah, can only occur on which of these days?
","Sunday, Tuesday, Wednesday or Friday","Sunday, Monday, Wednesday or Friday","Monday, Tuesday, Thursday or Saturday","Monday, Thursday or Friday","Monday, Tuesday, Thursday or Saturday"
281,"The first female Rabbi, Berlin-born Regina Jonas, was ordained in what year?
",1935,1905,1964,1789,1935
282,"Four Jewish jobs require ordination (or Smeecha). Which of these is not one of them?
",Cantor,Mohel,Shochet,Scribe,Cantor
283,"Jewish American Sidney Franklin was greatly admired by Ernest Hemingway, as he was the first American to become successful in what occupation?
",Boxer,Bullfighter,Police officer,Politician,Bullfighter
284,"One of the most important prayers in Jewish liturgy is the the Shemoneh Esreh (The Eighteen) This prayer, which must be said every day at almost every service, is also known by what other name?
",Shochain Od,The Amidah,The Shema,The Kol Nidrei,The Amidah
285,"Mike Epstein, Norm Sherry, Larry Sherry, and Barry Latman were all Jewish baseball players. What do they have in common?
",They all played for the Dodgers.,They all played for the Yankees.,They all went to the same high school.,The were all assassinated for political motives.,They all went to the same high school.
286,"When did the Six Day War between Israel and the Arab states of Egypt, Jordan, and Syria begin?
","June 5, 1971","June 5, 1967","June 5, 1963","June 5, 1969","June 5, 1967"
287,"In 1825, Jewish American diplomat and journalist Mordecai Manuel Noah tried to found what Jewish institution in the United States?
",A Jewish rebellion organization in the United States,A Jewish homeland in the United States,A Jewish government in the United States,A Jewish independent church in the United States,A Jewish homeland in the United States
288,"Who was the first Jewish player in the United States National Hockey League?
",Sam Rothschild,Mathieu Schneider,Ernie Grunfield,Issac Berger,Sam Rothschild
289,"Which of these terms is used by Jews to refer to the Old Testament?
",Torah,Tehillim,Tanakh,Schmuel,Tanakh
290,"The most important religious document for the Jews, Torah, is written in what language?
",Arabic,Syriac,Aramaic,Hebrew,Hebrew
291,"How many commandments are there in the central document of Judaism, Torah?
",1075,24,613,215,613
292,"According to Judaism, even non-Jews are morally bound to observe how many laws from the Torah?
",10,7,313,613,7
293,"Which of these prayers is traditionally sung before sunset on Yom Kippur, the Jewish Day of Atonement?
",Slichot,Tanaim,Kol Nidre,Dor v Dor,Kol Nidre
294,"Every morning and evening, Jews must recite a prayer, which is also said at  the moment before death. What is the name of this prayer?
",The Hoshannah Rabbah,The Kaddish,The Kiddush,The Shema Yisrael,The Shema Yisrael
295,"This is the holiest city in Judaism and the spiritual center of the Jewish people. It also plays an important role in Christianity and Islam.
",Constantinople,Jerusalem,Medina,Mecca,Jerusalem
296,"The Temple Mount, the Church of Holy Sepulchre and the Western Wall are landmarks found in this city.
",Baghdad,Ohrid,Jerusalem,Constantinople,Jerusalem
297,"Who built the Temple of Jerusalem also known as the Holy Temple?
",Constantine I Emperor,King Ferdinand,Justinian Emperor,King Solomon,King Solomon
298,"When was Jerusalem conquered by the Islamic Caliphate?
",In 1500,In 340,In 1040,In 638,In 638
299,"After the Arabic-Israeli War (1948-1949) Jerusalem was divided between Israel (West part) and Jordan (East part).
",False,True,,,True
300,"What is Jesus birthplace according to the Bible?
",Bethlehem,Jerusalem,Constantinople,Nazareth,Bethlehem
301,"Where is The Milk Grotto Church of Virgin Mary located?
",Bethlehem,Jerusalem,Nazareth,Baghdad,Bethlehem
302,"In Bethlehem, Christmas ceremonies are held on three different dates.
",False,True,,,True
303,"According to New Testament, the home of Joseph and Mary was in Jerusalem.
",False,True,,,False
304,"The Church of the Annunciation was built in Nazareth.
",True,False,,,True
305,"According to the Book of Matthew, Jacob was the father of Issac.
",True,False,,,False
306,"Who was king when Jesus was born?
",King Solomon,King David,King Herod,None of these,King Herod
307,"Jesus was baptized by John the Baptist.
",False,True,,,True
308,"In the Book of Matthew, what did Jesus say to the man with leprosy when he touched him?
",Be cured!,Be Clean!,Be Healed!,None of these,Be Clean!
309,"Whose mother-in-law was lying in bed with a fever in the Book of Matthew?
",Peter,James,John,Mark,Peter
310,"According to the Book of Matthew, how many disciples did Jesus give authority to heal the sick and drive out evil spirits?
",10,7,12,5,12
311,"Which of the apostles betrayed Jesus?
",Simon the Zealot,Philip,Matthew,Judas Iscariot,Judas Iscariot
312,"Where did Ruth live when she met her first husband according to the Book of Ruth?
",Bethlehem,Moab,Jerusalem,Judah,Moab
313,"In the Book of Ruth, who was Ruths mother-in-law that she would not abandon?
",Naomi,Mary,Orpah,Rahab,Naomi
314,"Who was Ruths sister-in-law according to the Book of Ruth?
",Oprah,Rahab,Orpah,Naomi,Orpah
315,"In the Book of Ruth, after the deaths of Naomis husband and her two sons, Naomi wanted to leave Moab. Where did she go?
",Bethlehem,Joppa,Jerusalem,Ninevah,Bethlehem
316,"In the Book of Ruth, what did Ruth do to indicate that she wanted to be redeemed?
",Bow down to Boaz,Wash Boaz feet.,Sing to Boaz,Sleep at Boaz feet.,Sleep at Boaz feet.
317,"In the Book of Ruth, Boaz was the closest relative thats why he came forward as the kinsman-redeemer.
",True,False,,,False
318,"According to the Book of Ruth, what did the kinsman-redeemer give to Boaz to indicate that Boaz would be the redeemer of Ruth?
",A signed piece of paper,500 shekels,His cloak,His sandal,His sandal
319,"What was the name of Ruth and Boazs son in the Book of Ruth?
",Jesse,David,Salmon,Obed,Obed
320,"The Book of Ruth comes after this book.
",Joshua,Esther,Daniel,Judges,Judges
321,"How many books are there in the Old Testament of the Bible?
",39,43,20,35,39
322,"Finish the title of this book of the Old Testament: The Song of _____
",Solomon,Job,Ruth,Joel,Solomon
323,"Which book of the Old Testament of the Bible has the least number of chapters?
",Obadiah,Haggai,Zephaniah,Habakkuk,Obadiah
324,"Which book of the Old Testament has the most chapters?
",Psalms,Genesis,Isaiah,Jeremiah,Psalms
325,"The first two books in the Old Testament are Genesis and Exodus. What is the name of the third book?
",Deuteronomy,Numbers,Joshua,Leviticus,Leviticus
326,"What is the title of the last book of the Old Testament?
",Job,Malachi,Zechariah,Haggai,Malachi
327,"Which of these books doesnt belong with the others?
",Ezekiel,Lamentations,Jude,Genesis,Jude
328,"Amos is the first book of the Old Testament alphabetically.
",True,False,,,True
329,"Which of these books of the Old Testament is not divided into parts I and II?
",Kings,Numbers,Samuel,Chronicles,Numbers
330,"There are 32 chapters in the Book of Proverbs.
",True,False,,,False
331,"Who was the first US President whose name appeared on the charter of a synagogue?
",Millard Fillmore,George Washington,Franklin Pierce,John F. Kennedy,Franklin Pierce
332,"Who was the  first Jew to serve as a  diplomat for the USA?
",Harvey Lembeck,Mordechai Noah,Judah Benjamin,Noah Hershey,Mordechai Noah
333,"Who was the first Jew to be offered a position on the US Supreme Court?
",Benjamin Cardoza,August Belmont,Louis Brandeis,Judah Benjamin,Judah Benjamin
334,"Who was the  first Jew to serve as US Minister to The Hague?
",Judah Benjamin,August Belmont,John Hays,Henry Androwsky,August Belmont
335,"What was the approximate Jewish population of the United States in 1790?
",5200-5500,2500-2700,1300-1500,3950-4300,1300-1500
336,"During the Revolutionary War many Jews volunteered to fight the British and there was even a Jew Company. Where were the members of this company  from?
","Philadelphia, PA.","Boston, MA.","Charleston, S.C.","New York City, NY.","Charleston, S.C."
337,"How many years did Golda Meir serve as President of Israel?
",0,3,4,6,0
338,"Who was the first President of Israel?
",David ben -Gurion,Chaim Weizmann,Golda Meir,Mosahe Dayan,Chaim Weizmann
339,"Who was famous for saying We will fight the War [WWII] as if there were no White Paper and the White paper as if there were no war.?
",Menachem Begin,Moshe Dayan,Golda Meir,David Ben-Gurion,David Ben-Gurion
340,"Which successful Israeli General lost an eye and was famous for wearing an eye patch?
",Moshe Malone,Moshe ben-Aram,Moshe Sharrett,Moshe Dayan,Moshe Dayan
341,"What does the term Chabad, as in Chabad Hasidism, mean?
",Its the name of the place where this form of Hasidism began,Its the name of the first Chabad Rabbi.,"It stands for wisdaom, understanding and knowledge.",It stands for healing the World.,"It stands for wisdaom, understanding and knowledge."
342,"This great American Army officer helped form the Israeli Army. He was responsible for organizing the army along modern lines and for leading the effort  to save Jerusalem in the 1948 war.
",Moshe Dayan,Modechai Manual,Eddie Jacobson,Mickey Marcus,Mickey Marcus
343,"What king of Babylon took over Jerusalem in the first chapter of the Book of Daniel?
",Nebuchadnezzar,Jehoiakim,Darius,Belshazzar,Nebuchadnezzar
344,"According to the Book of Daniel, upon his arrival in Babylon, what was Daniels name changed to?
",Meshach,Belshazzar,Belteshazzar,Shadrach,Belteshazzar
345,"What were the Hebrew names of Shadrach, Meshach and Abednego according to the Book of Daniel?
","Hananiah, Michael and Amos","Hananiah, Mark and Amos","Hananiah, Michael and Abraham","Hananiah, Mishael and Azariah","Hananiah, Mishael and Azariah"
346,"In the second chapter of the Book of Daniel, what did King Nebuchadnezzar have a dream about?
",A tree,A goat,A temple,A statue,A statue
347,"In King Nebuchadnezzars dream from the second chapter of the Book of Daniel, what kingdom does the head of gold represent?
",Roman Empire,Babylonian Empire,Medo-Persia Empire,Greek Empire,Babylonian Empire
348,"What kingdom do the legs of iron represent in King Nebuchadnezzars dream in the second chapter of the Book of Daniel?
",Roman Empire,Medo-Persian Empire,Greek Empire,Babylonian Empire,Roman Empire
349,"In the Book of Daniel, in King Nebuchadnezzars dream, the Greek Empire was represented by the chest and arms of silver.
",True,False,,,False
350,"In the Book of Daniel, what would Shadrach, Meshach and Abednego not bow down to?
",An image of gold,An image of silver,King Nebuchadnezzar,King Xerxes,An image of gold
351,"Since they did not bow down, as King Nebuchadnezzar commanded, what happened to Shadrach, Meshach and Abednego in the Book of Daniel?
",They were sent to the gallows.,They were thrown into a den of lions.,They were thrown into a fiery furnace.,They were stoned with rocks.,They were thrown into a fiery furnace.
352,"Who was king of Babylon when Darius the Mede took over?
",Nebuchadnezzar,Belshazzar,Belteshazzar,Xerxes,Belshazzar
353,"In the Book of Daniel, what did King Darius decree would happen if anyone prayed to any god or person, except for him for a period of 30 days?
",They would be beheaded.,They would be thrown into the lions den.,They would be stoned.,They would be thrown into a fiery furnace.,They would be thrown into the lions den.
354,"What period was marked by the Great Jewish Revolt against the Roman Empire?
",120-110 b.c.e.,250-223 b.c.e.,66-70,211-216,66-70
355,"Who led the Jewish revolt against the Roman Empire in the period from 132 to 135?
",The Savoraim,Judas Maccabee and his family,Bar Kochba and Rabbi Akiva,Eliezer Ben Ephraim,Bar Kochba and Rabbi Akiva
356,"What does the number 613 refer to in Judaism?
",The number of Israelites who went into Egypt to survive while famine plagued the Holy  Land,The number of commandments in the Torah,The number of Israelites who left Egypt with Moses,The days in a Jewish lunar year,The number of commandments in the Torah
357,"What distinction does Moses Alexander hold?
",He was the first Jewish governor in the USA.,He was the first Jew to get an M.D. degree in the USA.,He was the first Jewish candidate for the American Presidency.,He was the first Jewish US Senator.,He was the first Jewish governor in the USA.
358,"What distinction does Frank Wolf hold?
",He was the first  Jewish general in the US Army.,He was the first Jewish recipient of the Pulitzer Prize.,He was the first Jewish member of the House of Representatives.,He produced the first Yiddish play in then USA.,He produced the first Yiddish play in then USA.
359,"What was the name of the first union for actors in the US?
",The Screen Actors Guild,The Yiddish Actors Union,The Jewish Actors Guild,The Hebrew Actors Union,The Hebrew Actors Union
360,"What did Rose and Morris Michtom create in 1902?
",The Teddy Bear,The endoscope,The credit card,The vacuum tube,The Teddy Bear
361,"What is Victor David Brenner remembered for?
",He was the first Jewish mayor in the USA.,He painted the painting Washington Crossing the Delaware.,He was the first Jewish general in the US Army.,He made the portrait of Lincoln found on the US penny.,He made the portrait of Lincoln found on the US penny.
362,"Which settlement is famous as the location of one of the most spectacular craters in Israel?
",Kfar Yaackov,Mitzpeh Ramon,Kiryat Shemona,Acre,Mitzpeh Ramon
363,"Which organization was founded by Rabbi Ben Frankel in 1923?
",The Jewish National Fund,Hebrew Union College,The Hillel Foundation,Hadassah,The Hillel Foundation
364,"The circled-U symbol found on the labels of certain products shows that the Union of Orthodox Congregations have found the food is kosher. What was the first food product to have this symbol?
",Breakstones sour cream,Heinz ketchup,Manischewitz matzot,Empire chicken,Heinz ketchup
365,"Which Israeli city is a sister city of New York City?
",Haifa,Netanya,Tel Aviv,Jerusalem,Tel Aviv
366,"Can an egg laid on a holy day (a Yom Tov) be eaten?
",Definitely no,"Rabbi Hillel says no, but Rabbi Shammai says yes.",Definitely yes,"Rabbi Hillel says yes, but  Rabbi Shammai says no.","Rabbi Hillel says no, but Rabbi Shammai says yes."
367,"An Israeli has invented a gun that can shoot around corners.
",False,True,,,True
368,"This Jewish woman is often considered the First Lady in Television  News.
",Hannah Senesh,Barbara Walters,Dorothy Fuldheim,Glickl  von Hamelin,Dorothy Fuldheim
369,"This man and his partner, Mort Shuman, wrote almost 1,500 songs. His writings include: Viva Las Vegas, Prisoner of Love, Sweets for My Sweets, This Magic Moment, and Suspicion.
",Alex Bernstein,Davis Fuldheim,Brian Epstein,Doc Pomus,Doc Pomus
370,"What is strange about the edible vegetable Salicornia, which Israel exports to Europe?
",It can only be eaten cooked.,The plant is 100% edible.,It is completely salt-free.,The vegetable is also used in glass-making.,The vegetable is also used in glass-making.
371,"What city is called The capital of the Negev (desert)?
",Beer Sheva,Netanya,Haifa,Jaffa,Beer Sheva
372,"Who is Gal Friedman?
",He was the first Israeli UN Ambassador.,She was Israels first  Ambassador to the USA.,He was the first Israeli to win an Olympic gold  medal.,She was the first Israeli to win a Nobel Prize.,He was the first Israeli to win an Olympic gold  medal.
373,"This Israeli city, which features many beautiful beaches and beautiful seashore views, is also the site of the first IKEA in Israel.
",Jaffa,Netanya,Hadera,Kiryat Shemona,Netanya
374,"You can go snow skiing in the area of which Israeli mountain?
",Mt. Nebo,Mt. Hermon,Mt. Carmel,Mt. Sinai,Mt. Hermon
375,"The Knesset is the Israeli parliament. In the Knesset building there is a tapestry by this famous artist.
",Ginsberg,Willensky,Picasso,Chagal,Chagal
376,"This great proponent for peace and understanding, who was Mayor of Jerusalem for 28 years, died in January , 2007.
",Moshe Tellek,Teddy  Kollek,Ariel Sharon,Illiyon Golan,Teddy  Kollek
377,"Which of these holidays does not have a fast associated with it?
",Sukkot,Tisha BAv,Purim,Passover,Sukkot
378,"Who was Ilon Ramon?
",The first Israeli astronaut,The first Israeli to win the Nobel Prize in Literature,The first Israeli tomplay in the NBA.,The first Israeli Ambassador to Egypt since Moses,The first Israeli astronaut
379,"What did these six people have in common: Roderigo De Trianna, Luis De Torres, Maestre Bernal, Alfonso De La Calle, Marco the Surgeon, and Roderigo Sanchez De Segovia?
",They were the first Jews to be killed by the Spanish Inquisition.,"They were the only Jews, or Muslims, who were allowed to remain in Spain after the Expulsion Notice of 1492 in order to attend to the health of King Ferdinand First.",They all sailed with Columbus.,They were Marranos who feigned to disavow Judaism so they could remain in Spain after the Expulsion Notice of 1492.,They all sailed with Columbus.
380,"Jewish women often wear a piece of jewelry with the shape of human hand and sometimes writings on it. What is it called?
",TziTzit,Hamsa,Aron,Mezzuzah,Hamsa
381,"In Jewish traditions, what is the ceremony for the naming of a female baby on the evening of her fifth day?
",Sarahs Ceremony,The Confirmation,Pinyin Ha-ben,The Eve of the Sixth,The Eve of the Sixth
382,"During Jewish wedding ceremonies, the bride and groom stay under a canopy. What is this canopy called?
",Chutzpah,Chanukia,Tallit katan,Chupah,Chupah
383,"The word Channukah, which refers to a Jewish tradition, means what in Hebrew?
",Dedication,Celebration,Winter,Pilgrimage,Dedication
384,"What meals are typically eaten during the celebrations of the Channukah holiday?
",Potato pancakes and flat bread,Potato pancakes and jelly doughnuts,Boiled chicken and dumplings,Jelly doughnuts and flat bread,Potato pancakes and jelly doughnuts
385,"What is the traditional food for Shavuot, a major festival in Judaism?
",Boiled chicken,Fish,Potato dishes,Dairy products,Dairy products
386,"Which line contains the correct names of the three Pilgrimage Festivals in Judaism?
","Passover, Channukah, and Shavuot","Rosh Hashannah, Yom Kippur, and Channukah","Rosh Hashannah, Yom Kippur, and Sukkot","Sukkot, Passover, and Shavuot","Sukkot, Passover, and Shavuot"
387,"Which line represents the correct beginning of the Shema prayer?
","Hear, O Israel! Bless the Lord who gave us the Torah!","Hear, O Israel! The Lord is our God! The Lord is One!",Blessed be the name of the glory of His kingdom!,Blessed be the name of the Lord who made our bread!,"Hear, O Israel! The Lord is our God! The Lord is One!"
388,"Which of these people do Jews consider to be their historical religious Patriarchs?
","Abraham, Moses, and David","Abraham, Issac, and Jacob","Abraham, Moses, and Solomon","Moses, David, and Solomon","Abraham, Issac, and Jacob"
389,"Who is considered the father of the Jewish political movement and ideology of Zionism?
",Theodor Herzl,Alfred Dreyfus,I .L. Peretz,Sholom Aleichem,Theodor Herzl
390,"Jewish children are considered  grown up enough to be responsible for their actions at what age?
",All children above 13,"Boys at 13, girls at 12","Boys at 14, girls at 13","Boys at 13, girls at 14","Boys at 13, girls at 12"
391,"What is the meaning of the Hebrew toast lChaim!?
",To life!,To our country!,To health!,To success!,To life!
392,"According to the Bible, God commanded this prophet to anoint David as king.
",Abiathar,Samuel,Ahimelech,Saul,Samuel
393,"According to the Bible, David played this instrument to Israels first king, Saul.
",Bongos,Harp,Flute,Guitar,Harp
394,"Who was Davids father according to the Bible?
",Jesse,Samuel,Solomon,Eliab,Jesse
395,"In the Bible, David fought the giant Goliath of Gath with a staff in his hand, a sling, and a shepherds bag which contained this number of stones.
",6,4,5,3,5
396,"According to the Bible, David was very close friends with this son of King Saul.
",Shammah,Jonathan,Joshua,Abner,Jonathan
397,"The Biblical king Saul became jealous of David because he was victorious in battle and was loved by all Israel. One day when David was playing the harp for him, Saul did which of the following in an attempt to kill him?
",Hurled a spear,Threw a heavy rock,Tried to choke him,Tried to poison him,Hurled a spear
398,"According to the Bible, David married this daughter of Saul.
",Michal,Merab,Serah,Ruth,Michal
399,"In the Bible, David once killed a lion and a bear.
",False,True,,,True
400,"What Jewish tribe did David belong to?
",Judah,Naphtali,Benjamin,Simon,Judah
401,"How many years did David reign as king of Israel?
",25,45,35,40,40
402,"How long has Tel Aviv been the capital of Israel?
",Since 1967,Since 1948,None of these,Since 1984,None of these
403,"Who named Tel Aviv?
",David Ben Gurion,Nahum Sokolow,Chaim Nachman Bialik,Joshua,Nahum Sokolow
404,"What was the approximate population of Tel Aviv according to the Israel Central Bureau of Statistics as of June 2006?
","570,600","475,500","1,125,000","380,600","380,600"
405,"What is the Arabic name for Tel Aviv?
",Tal al-rabey,Yaffa,Jebu al-Etzion,Gush Dan,Tal al-rabey
406,"What type of stone was used to build the Western or Wailing Wall in Jerusalem?
",Safedstone,Gnesis,Limestone,Granite,Limestone
407,"Who was the first mayor of Tel Aviv?
",Israel Rokach,David Bloch,Meir Dizengoff,Chaim Levanon,Meir Dizengoff
408,"What is the name of the Israeli National Theater?
",Notzar,Tzavata,Habima,Beit Lessin,Habima
409,"In what language do Ethiopian Jews read Torah?
",Gez,Arabic,Amharic,Hausau,Gez
