,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
759,"In which of these sports can a father be a mudder, as explained to Costello by Abbott in one of their comedy routines?
",horse racing,polo,wrestling,golf,horse racing
760,"In the movie Hold That Ghost, what animals does Camille Brewster (Joan Davis) tell Lou Costello she cannot go to bed without?
",Deer,Doves,Sheep,Mules,Mules
761,"Can you pick the words that sets off a deranged derelict to beat up Lou Costello every time he hears them mentioned in the movie Lost in a Harem?
",Off With His Head,Grand Canyon,Sultans Wives,Niagara Falls,Niagara Falls
762,"In the movie Naughty Nineties, what does the American comedian Abbott do to prove to his partner Costello that he cannot hit him while they are both standing on the end of a handkerchief?
",Makes Costello stand on one leg,Draws a line,Folds it in half,Closes the door over his half,Closes the door over his half
763,"In the movie Abbott  Costello Meet Frankenstein鈥, Costello does a type of magic trick. What is it?
",He makes a coin disappear.,He pulls out the tablecloth without upsetting the candles and dinnerware.,He pulls a rabbit out of a hat.,He makes Sandra disappear.,He pulls out the tablecloth without upsetting the candles and dinnerware.
764,"In Abbott and Costello鈥檚 routine Susquehanna Company, almost all the items that Lou Costello was to deliver were destroyed by people hearing the mention of that companys name. What were those items?
",Gloves,Hats,Pants,Belts,Hats
765,"Which of these foods is the name of a street in comedians Abbott and Costello鈥檚 routine, where Costello gets beaten up by mentioning that name?
",Orange,Bacon,Bagel,Custard,Bagel
766,"What year was Lou Ferrigno born?
",1950,1955,1954,1951,1951
767,"Lou Ferrigno lost some of his hearing as a child.
",True,False,,,True
768,"In what 1977 competition did Lou Ferrigno place 4th?
",Mr. Olympia,Mr. Universe,Mr. America,Worlds Strongest Man,Worlds Strongest Man
769,"Which of the following shows did Lou Ferrigno not appear in?
",Friends,My Wife and Kids,Home Improvement,Reno 911,Friends
770,"What popular sitcom did Lou Ferrigno play himself in?
",Friends,Everybody loves Raymond,King of Queens,8 Simple Rules,King of Queens
771,"Argentina is the second largest country in terms of area and population on the continent it is located.
",True,False,,,True
772,"The name of Argentina comes from a Latin word which means silver.
",False,True,,,True
773,"What is the official language of Argentina?
",Spanish,Italian,Guaran铆,German,Spanish
774,"What is the predominant religion in Argentina?
",The Church of Jesus Christ of Latter-day Saints,Islam,Protestantism,Roman Catholicism,Roman Catholicism
775,"What is the motto of Argentina?
",Por la Raz贸n o la Fuerza,La uni贸n es la fuerza!,Ordem e Progresso,En uni贸n y libertad,En uni贸n y libertad
776,"What is the national anthem of Argentina?
",Himno Nacional de Argentina,Hino Nacional Argentino,Hino Nacional de Argentina,Himno Nacional Argentino,Himno Nacional Argentino
777,"What is the capital of Argentina?
",Buenos Aires,San Juan,Rosario,La Plata,Buenos Aires
778,"What is the currency of Argentina?
",col贸n,peso,dollar,daler,peso
779,"Who is the first president of Argentina?
",Bernardino Rivadavia,Manuel Dorrego,Vicente L贸pez y Planes,Justo Jos茅 de Urquiza,Bernardino Rivadavia
780,"On what continent is Argentina located?
",Asia,South America,North America,Europe,South America
781,"Stephen Fry was born in 1957 to an English father and an Austrian-Jewish mother. Which borough of London was he born in?
",Richmond upon Thames,Wandsworth,Harrow,Camden,Camden
782,"Stephen Fry was expelled from two schools between the ages of 14 and 16
",True,False,,,True
783,"At the age of seventeen, Stephen Fry was imprisoned for 3 months for what illegal activity?
",Assault,Reckless driving,Fraud,Indecency,Fraud
784,"Following his release from prison, Stephen Fry studied hard to successfully gain entrance to which University?
",Edinburgh,Oxford,Cambridge,Bristol,Cambridge
785,"While at University, Stephen Fry joined an amateur theatrical group where he met his comedy partner Hugh Laurie. What was the name of the theatrical group?
",Footlights,Revue,Fringe,Old Vic,Footlights
786,"Stephen Fry first came to public attention when he partnered Hugh Laurie on Saturday Live. This led to him being cast as Lord Melchett in which successful comedy series?
","Filthy, Rich and Catflap",Three of a Kind,Blackadder II,The Young Ones,Blackadder II
787,"What was the title of the 4-season long TV sketch show created by Stephen Fry and Hugh Laurie?
",Saturday Night Fry,Moab is my Washpot,Jeeves and Wooster,A Bit of Fry and Laurie,A Bit of Fry and Laurie
788,"What is the link between Stephen Fry and popular boy-wizard Harry Potter?
",Fry is J K Rowlings cousin.,Fry owned the cafeteria at which J K Rowling wrote a lot of the early notes for Harry Potter and the Philosophers Stone.,Fry is the voice of the audiobook versions of the Harry Potter stories and their videogame adaptations.,Fry was originally offered the part of Dumbledore in the Harry Potter films.,Fry is the voice of the audiobook versions of the Harry Potter stories and their videogame adaptations.
789,"Whilst appearing in the stage play, Cell Mates, in 1995 Stephen Fry suffered a nervous breakdown and disappeared for a number of days. In which country did he reappear in public?
",France,Belgium,Holland,Germany,Belgium
790,"What does Brad Pitts tattoo written in French on his left forearm mean?
",Life is absurd.,The sun will rise again.,God is within me.,My heart belongs to me.,Life is absurd.
791,"What flower did Cher have tattooed on her ankle?
",Carnation,Sunflower,Orchid,Rose,Rose
792,"Which of the following did Beyonce have tattooed on her hips?
",Roses,A heart,A cross,An angel,An angel
793,"What animal did actor Nicolas Cage have tattooed on his back?
",A horse,A lizard,A tiger,A dog,A lizard
794,"On what part of her body did actress and singer Dolly Parton get a butterfly tattoo?
",On her wrist,On her shoulder,Her lower back,On her chest,On her chest
795,"A portrait of whom did Sylvester Stallone have tattooed on his right shoulder?
",His daughters,His wife,Marilyn Monroe,Che Guevara,His wife
796,"What does the Hebrew script running down from Victoria Beckhams neck to her back read?
",Thou shall not tempt me.,He who increases knowledge increases sorrow.,"I am my beloveds, my beloved is mine.","As ye sew, so shall ye reap.","I am my beloveds, my beloved is mine."
797,"What king of tattoo did Gisele Bundchen get done on the inside of her left wrist?
",Her mothers initials,A bunny,A star,A strawberry,A star
798,"What number did Eva Longoria have tattooed in English on the back of her neck?
",Eleven,Nine,Three,Seventeen,Nine
799,"What cartoon character did Christina Aguilera have tattooed on her lower abdomen?
",Bugs Bunny,Mickey Mouse,Flounder,Winnie-the-Pooh,Mickey Mouse
800,"Alec Baldwin received his first Academy Award nomination for his performance in this 2003 movie.
",The Aviator,The Cooler,Pearl Harbor,Along Came Polly,The Cooler
801,"In what 1997 movie did Alec Baldwin portray ambitious fashion photographer Robert Green?
",The Edge,The Acting Class,Notting Hill,The Confession,The Edge
802,"What animal character did Alec Baldwin voice in the 2008 animated movie Madagascar: Escape 2 Africa?
",Zebra,Lemur,Lion,Penguin,Lion
803,"In what 2006 Martin Scorsese movie did Alec Baldwin portray Captain George Ellerby, commander of the Special Investigations Unit?
",The Departed,The Edge,The Aviator,Pearl Harbor,The Departed
804,"What Academy Award-winning actress starred opposite Alec Baldwin in the 1996 drama movie Ghosts of Mississippi?
",Oprah Winfrey,Halle Berry,All of these,Whoopi Goldberg,Whoopi Goldberg
805,"Alec Baldwin portrayed a man who dies and turns into a ghost in this 1988 movie.
",Heavens Prisoners,Ghost,Malice,Beetlejuice,Beetlejuice
806,"Who is the director of the 2004 biographical drama movie The Aviator that featured Alec Baldwin among others?
",Steven Spielberg,Martin Scorsese,Tim Burton,James Cameron,Martin Scorsese
807,"Alec Baldwin starred opposite this Hollywood actress in the 1992 romantic fantasy movie Prelude to a Kiss?
",Melanie Griffith,Julia Roberts,Kim Basinger,Meg Ryan,Meg Ryan
808,"What animal did Alec Baldwin voice in the 2001 comedy movie Cats  Dogs?
",Mouse,Guinea pig,Dog,Cat,Dog
809,"In what 2006 spy movie did Alec Baldwin star as FBI Agent Sam Murach?
",The Last Shot,The Good Shepherd,Mercury Rising,State and Main,The Good Shepherd
810,"Tom Cruise received his first Academy Award nomination for his outstanding performance in this 1989 movie.
",Rain Man,Born on the Fourth of July,A Few Good Men,Top Gun,Born on the Fourth of July
811,"In what movie did Tom Cruise portray Dr. Bill Harford?
",Minority Report,Magnolia,Eyes Wide Shut,The Color of Money,Eyes Wide Shut
812,"Tom Cruises performance in the 2005 movie War of the Worlds brought him a nomination for this award.
",Golden Globe Award,All of these,Golden Raspberry Award,Academy Award,Golden Raspberry Award
813,"What is the occupation of Jerry Maguire, portrayed  by Tom Cruise in the 1996 movie Jerry Maguire?
",Sports agent,Rugby player,Baseball player,American football coach,Sports agent
814,"What is the offensive title of the book written by Frank T.J. Mackey, played by Tom Cruise, in the 1999 movie Magnolia?
",How To Get Laid For Less Money,She Is Only After Your Wallet,The Superior Sex,Seduce And Destroy,Seduce And Destroy
815,"How does Tom Cruises character, David Aames, get disfigured in the 2001 movie Vanilla Sky?
",He was burned with acid as a child.,None of these,In a car crash,His ex-girlfriend cuts his face out of jealousy.,In a car crash
816,"What is the name of the character portrayed by Tom Cruise in the Mission: Impossible movie series?
",Ethan Hawke,Ray Ferrier,Jim Phelps,Ethan Hunt,Ethan Hunt
817,"What is the title of the 2003 movie in which Tom Cruise starred as war veteran Captain Nathan Algren?
",The Last Warrior,The Last Soldier,The Last Ninja,The Last Samurai,The Last Samurai
818,"In which 1992 drama movie did Tom Cruise star opposite Jack Nicholson and Demi Moore?
",Mission: Impossible II,A Few Good Men,Top Gun,Born on the Fourth of July,A Few Good Men
819,"What is the nickname of Tom Cruises character in the 1986 movie Top Gun?
",Iceman,Maverick,Cougar,Viper,Maverick
820,"Duke Ellington was born on April 29, 1899 in which city?
","Baltimore, Maryland","Washington, D.C.","Atlanta, Georgia",New York City,"Washington, D.C."
821,"This book, published in 1973, is Duke Ellingtons autobiography.
",Ellington:In A Mellow Mood,Music Is My Mistress,Sir Duke,The Duke From Baltimore,Music Is My Mistress
822,"According to Duke Ellingtons autobiography, his childhood dream was what?
",To play the piano,To play the violin,To be an actor,To be a baseball player,To be a baseball player
823,"Jazz musician Duke Ellington attended which high school?
",Peebles High School,Armstrong Manual Training School,Grand Valley High School,West Union High School,Armstrong Manual Training School
824,"In 1917, Duke Ellington formed his first music group, named what?
",The Dukes Serenaders,The Orioles,The Moochers,The Washingtonians,The Dukes Serenaders
825,"In 1927, Duke Ellington and his band, The Washingtonians were offered a permanent job at which famous Harlem club?
",The Hollywood Club,The Cotton Club,The Savoy Ballroom,The Apollo,The Cotton Club
826,"This composer and pianist wrote Take the A Train, which became the signature tune of Duke Ellington.
",Fats Navarro,Fats Waller,Billy Strayhorn,Billie Holiday,Billy Strayhorn
827,"Which of these is not a famous piece by Duke Ellington?
",One OClock Jump,Mood Indigo,Such Sweet Thunder,Sophisticated Lady,One OClock Jump
828,"Which of these prominent musicians did not play in Duke Ellingtons orchestra?
",Sonny Greer,Ray Willis Nance,Harry Carney,Freddie Green,Freddie Green
829,"Which statement, concerning the awards and honors received by Duke Ellington, is true?
",He was awarded the Legion of Honor by France in 1973,He was awarded the Presidential Medal of Freedom,A 22 cent commemorative stamp with his name and picture was issued in 1986,All of these are true,All of these are true
830,"When was Gary Cooper born?
",1931,1941,1901,1921,1901
831,"From what disease did Gary Cooper die?
",Cancer,Heart attack,Malaria,Liver infection,Cancer
832,"In which Hall of Fame was Gary Cooper inducted?
",The ASCAP Hal of Fame,The Screen Actors Guild  Hall of Fame,The National Hall of Great Americans,National Cowboy and Western Heritage Museum,National Cowboy and Western Heritage Museum
833,"How did Frank James Cooper become Gary Cooper?
",He was given that name by Ron Howard.,His football coach at UCLA gave him the name.,"Spencer Tracy said, He looks like a Gary.","His agent was born in Gary, Indiana.","His agent was born in Gary, Indiana."
834,"How many times was Gary Cooper married?
","Three times: to Marlene Dietrich, Patricia Neal, and Gloria Swanson",Once to a woman not in show  business,"Four times: to Clara Bow, Evelyn Brent, Carole Lombard, and Ingrid Bergman",Never,Once to a woman not in show  business
835,"Which two movies earned Gary Cooper Academy Awards?
",Mr. Deeds Goes to Town and Today We Live,A Farewell to Arms and For Whom the Bells Toll,The Plainsman and The Westerner,Sergeant York and High Noon,Sergeant York and High Noon
836,"Gary Cooper was present when an escalator was put into a movie theater for the first time.
",True,False,,,True
837,"Gary Cooper is referenced in an Irving Berlin song.
",False,True,,,True
838,"Gary Cooper starred in A Farewell to Arms and For Whom the Bell Tolls. What do these movies have  in common?
",They are based on novels by Ernest  Hemingway.,They both co-starred John Wayne.,They both were directed by Fritz Lang.,They are based on novels by John Steinbeck.,They are based on novels by Ernest  Hemingway.
839,"1939 has often been described as a banner year for movies. Which of these 1939 movies starred Gary Cooper?
",The Wizard of Oz,Beau Geste,Stagecoach,Gone With the Wind,Beau Geste
840,"Although John Wayne and Gary Cooper were good friends, John Wayne hated this Gary Cooper role.
",Cole Harden in The Westerner,Will Kane in High Noon,Casanova Brown in Casanova Brown,Ashley Wilkes in Gone With the Wind,Will Kane in High Noon
841,"Gary Cooper is famous for his portrayal of this athlete.
",Lou Gehrig,Jim Thorpe,Alvin York,Babe Ruth,Lou Gehrig
842,"Gary Cooper appeared at the House Un-American Activities Committee in the 1950s. Which best describes his testimony?
",He named ten writers who were Communists.,He said he feared Communism but did not mention any names.,He said there was no danger from Communism in Hollywood.,He named ten people in Hollywood who were Communists.,He said he feared Communism but did not mention any names.
843,"Gary Cooper was a man of many hobbies. Which of these was one of them?
",taxidermy,chess,poetry,stamp collecting,taxidermy
844,"Before becoming a star, Gary Cooper was a guide in this US Park.
",Grand Teton,Yellowstone,Yosemite,Mount Rushmore,Yosemite
845,"Find the incorrect statement concerning Gary Cooper.
",Tony Soprano often referred to Gary Cooper as the strong silent  type.,A poster of Cooper was used to help win free elections in Poland.,John Wayne learned to ride a horse from Gary Cooper.,Gary Coopers daughter once spat at the actress Patricia Neal.,John Wayne learned to ride a horse from Gary Cooper.
846,"By some quirk of  fate, Gary Cooper was distantly related to this actress.
",Brooke Shields,Holly Hunter,Kyra Sedgewick,Michelle Pfeiffer,Brooke Shields
847,"Five individuals were the regular hosts of this radio theatre program, that ran from 1979-1981. Richard Widmark was the Friday night adventure host.
",Wells Fargo Theatre,RKO,Wagon Train Theatre,Sears Radio Theatre,Sears Radio Theatre
848,"Actor Richard Widmark nearly lost an important part because his ears were too big.
",False,True,,,False
849,"Richard Widmarks daughter was married to this baseball great.
",Roger Maris,Sandy Koufax,Joe Dimaggio,Mark McGuire,Sandy Koufax
850,"When Richard Widmark married his second wife, he became the step-father to Amy. Amy was the daughter of Susan Blanchard and this actor legend.
",Fred MacMurray,Henry Fonda,Glen Ford,James Stewart,Henry Fonda
851,"Why was Richard Widmark unable to serve in the military during WWII?
",flat feet,perforated eardrum,asthma,poor eyesight,perforated eardrum
852,"Richard Widmark starred in this movie in the 70s, that was an adaptation of a book by Agatha Christie.
","And, Then There Were None","One Little, Two Little, Three Little Indians",Darkness Inconvenienced,Murder on The Orient Express,Murder on The Orient Express
853,"Richard Widmark appeared on I Love Lucy as himself, in an episode in which Lucy pretends to be infatuated with Widmark.
",True,False,,,True
854,"In what eastern state was actor Ron Perlman born?
",Florida,Virginia,Maryland,New York,New York
855,"Ron Perlman has done s a lot of voice over work in cartoons and games. Which of the following is not one of his projects?
",Lord Terrence Hood,Jagger Valance,Clayface,Superman,Superman
856,"In 2008, Ron Perlman became the oldest actor to play a main superhero.
",False,True,,,True
857,"Ron Perlman played Bernie Marx back in the 70s on this daytime soap opera.
",Knots Landing,Days of Our Lives,General Hospital,Ryans Hope,Ryans Hope
858,"What movie starring Ron Perlman is this exchange from?
", I dont know? About 5 seconds? ," [pulls three eggs out of his forearm] Touched you five seconds, laid three eggs. ", Didnt even buy me a drink.,Hellboy, [while stitching up  forearm] How long did he touch you? 
859,"Revolutions studio wanted someone like Vin Diesel to play the part of Hellboy, but it was eventually given to Ron Perlman.
",False,True,,,True
860,"Ron Perlman did not win an Emmy for the TV series Beauty and the Beast.
",True,False,,,True
861,"In which of these films did Ron Perlman co-star with Wesley Snipes?
",Blade II,Blade III,Art of War,Aliens,Blade II
862,"Microsoft co-founder William Henry Gates III, a.k.a. Bill Gates, was born on October 28, 1955 in this US state.
",Arizona,Kentucky,Washington,Delaware,Washington
863,"TV host and actress Oprah Winfrey was born on January 29, 1954 in this US state.
",Minnesota,Michigan,Mississippi,Missouri,Mississippi
864,"In what country was Academy Award winner Robert De Niro born on August 17, 1943?
",Germany,the United States,Australia,Italy,the United States
865,"Writer Agatha Christie, who became the best-selling author of all time, was born in this country on September 15, 1890.
",Wales,Ireland,England,Scotland,England
866,"Soccer star David Beckham was born on May 2, 1975 in what English city?
",Birmingham,London,Manchester,Liverpool,London
867,"Singer and songwriter Celine Dion was born on March 30, 1968 in this country.
",Belgium,France,the United States,Canada,Canada
868,"The 44th President of the United States Barack Obama was born on August 4, 1961 in this US state.
",California,Hawaii,Florida,Texas,Hawaii
869,"Legendary actress Greta Garbo was born on September 18, 1905 in this European country.
",Sweden,Switzerland,Finland,Denmark,Sweden
870,"In what US state was music legend Ray Charles born on September 23, 1930?
",Colorado,Maryland,Georgia,Florida,Georgia
871,"Hollywood actor Omar Sharif was born on April 10, 1932 in this African country.
",Egypt,Morocco,Libya,South Africa,Egypt
872,"This Baldwin met his future wife on the set of The Marrying Man in 1991.
",Alec,William,Daniel,Stephen,Alec
873,"Which Baldwin was born May 12, 1966, making him the youngest of the brothers?
",William,Alec,Daniel,Stephen,Stephen
874,"In 1993 this Baldwin was cast in the Baltimore-based cop show Homicide: Life on the Street.
",Alec,Stephen,WIlliam,Daniel,Daniel
875,"This Baldwin appeared in the 1990 movie Flatliners, as Joe Hurley.
",Daniel,Stephen,Alec,William,William
876,"Alec Baldwin starred in the 1995 movie The Usual Suspects.
",False,True,,,False
877,"Three of the four Baldwin brothers appeared in the 1989 movie Born On The Fourth of July.
",False,True,,,True
878,"Which Baldwin starred in the 1996 movie Mulholland Falls with Nick Nolte?
",William,Daniel,Stephen,Alec,Daniel
879,"There are no sisters to the Baldwin brothers.
",False,True,,,False
880,"In 1960s The Alamo, John Wayne played this famous frontiersman.
",Colonel William Travis,Colonel Jim Bowe,Colonel Davy Crockett,General Sam Houston,Colonel Davy Crockett
881,"Julia Roberts was the first actress to appear on the cover of this popular magazine.
",Elle,Cosmopolitan,Harpers Bazaar,Vogue,Vogue
882,"What was the occupation of Julia Roberts parents when they first met?
",Actors and playwrights,Professional dancers,Fashion designers,Butchers,Actors and playwrights
883,"What musical instrument did Julia Roberts learn to play when she was a student?
",Flute,Trombone,Clarinet,Violin,Clarinet
884,"What was Julia Roberts dream job when she was a little girl?
",Model,Astronaut,Singer,Veterinarian,Veterinarian
885,"In what movie, released in 1989, did Julia Roberts make her acting debut?
",Mystic Pizza,Lonely Traveler,Blood Red,Blue Sunrise,Blood Red
886,"What disease did Julia Roberts character have in the 1989 dramedy movie Steel Magnolias?
",Diabetes,Cancer,Tuberculosis,AIDS,Diabetes
887,"What name did Julia Roberts give to her first-born daughter who was born on November 28, 2004, together with her fraternal twin brother?
",Ginger,Hazel,Apple,Coco,Hazel
888,"What famous actor did Julia Roberts date before she married cameraman Daniel Moder?
",Liam Neeson,Benjamin Bratt,All of these,Matthew Perry,All of these
889,"What type of character did Julia Roberts voice in the 2006 computer-animated movie The Ant Bully?
",A worker ant,Queen ant,A nurse ant,A little girl,A nurse ant
890,"What was the name of Julia Roberts character in the 1991 Steven Spielberg movie Hook?
",Wendy Darling,Princess Galathea,Tinker Bell,Medea,Tinker Bell
891,"What is Christopher Walkens real first name?
",George,Ronald,Harry,Edward,Ronald
892,"What did Christopher Walken eat for an entire week in order to prepare for his role in the 1978 movie The Deer Hunter?
",Rice and bananas,Eggs,Steamed broccoli,Chicken and pork,Rice and bananas
893,"In what Madonna video has actor Christopher Walken made an appearance?
",Youll See,Bad Girl,Oh Father,All of these,Bad Girl
894,"What is the name of actor Christopher Walkens first-born child?
",Sandra,Deborah,None of these,Matthew,None of these
895,"Complete the following popular phrase that originated from Chris Walkens performance in an episode of Saturday Night Live:
",Cowbell,Cowbell,Jackass,Booty,tta have more ...
896,"What character did actor Christopher Walken portray in the 1992 movie Batman Returns?
",Chip Shreck,Max Shreck,The Penguin,The Mayor,Max Shreck
897,"What animated character did Christopher Walken voice in the 1998 animated movie Antz?
",Colonel Cutter,General Mandible,Z,Weaver,Colonel Cutter
898,"In what Denzel Washington movie did Christopher Walken appear as Denzels ex-colleague from CIA?
",Man on Fire,The Bone Collector,American Gangster,Training Day,Man on Fire
899,"In what movie did Christopher Walken play the role of a World War II veteran and father of Frank Abagnale, Jr.?
",Catch Me If You Can,The Opportunists,Last Man Standing,The Funeral,Catch Me If You Can
900,"What legendary musician was the main character in the 1995 play Him, written by Christopher Walken?
",John Lennon,Jimi Hendrix,Fred Astaire,Elvis Presley,Elvis Presley
901,"Which state was American actress and singer Hilary Duff born in?
",New York,Kansas,California,Texas,Texas
902,"Which of these is a name of one of Hilary Duffs albums?
",Most Wanted,In Love,Broken,Fly,Most Wanted
903,"In which of these movies does Hilary co-star with her sister, Haylie Duff?
",Cadet Kelly,Material Girls,Parent Trap,The Perfect Man,Material Girls
904,"When was Hilary Duff born?
","October 28th, 1987","August 5th, 1986","November 29th, 1985","September 28th, 1987","September 28th, 1987"
905,"Alternative rock band, Weezer has had the same members throughout their career.
",False,True,,,False
906,"Where is the name of alternative rock band, Weezer derived from?
",Rivers Cuomos childhood nickname,The street one of the members lived on,It doesnt mean anything,Patrick Wilsons grandfather,Rivers Cuomos childhood nickname
907,"Rivers Cuomo of the band, Weezer, has converted to Buddhism.
",False,True,,,False
908,"Directed by Spike Jonze, this was the first video of alternative rock band, Weezer.
",Say it Aint So,Island in the Sun,Undone (The Sweater Song),Buddy Holly,Undone (The Sweater Song)
909,"Finish the lyric by American alternative rock band, Weezer:
", You Want it,u can Have it,l You have to do is,reach out there and grab it,
910,"You Want it
",l You have to do is,reach out there and grab it,reach out there and grab it,take up a new habit,u can Have it
911,"What was the first video of the band, Weezer, that Scott Shriner was featured in?
",Keep Fishin,Photograph,Island in the Sun,Dope Nose,Photograph
912,"Who directed the video for Weezers Say It Aint So?
",Mark Romanek,Sophie Muller,Anton Corbijn,Spike Jonze,Sophie Muller
913,"How many animals and insects are referenced on Weezers second album, Pinkerton?
",3,2,11,7,11
914,"Michael Jackson was born in this US state on August 29, 1958.
",Virginia,Louisiana,Maryland,Indiana,Indiana
915,"John F. Kennedy, 35th President of the United States, was born in this US state on May 29, 1917.
",Nevada,North Carolina,Utah,Massachusetts,Massachusetts
916,"In what US city was Academy Award winner Jane Fonda born on December 21, 1937?
",Los Angeles,New York City,Houston,Boston,New York City
917,"Composer Ludwig van Beethoven was born around 16 December 1770 in this German city.
",Dusseldorf,Bonn,Berlin,Hamburg,Bonn
918,"In what Latin American country was revolutionary Che Guevara born on June 14, 1928?
",Bolivia,Mexico,Argentina,Cuba,Argentina
919,"Film legend Charlie Chaplin was born on April 16, 1889 in this country of the United Kingdom.
",Ireland,Wales,Scotland,England,England
920,"In what US state was The King of Rock n Roll Elvis Presley born on January 8, 1935?
",Texas,Missouri,South Carolina,Mississippi,Mississippi
921,"In what country was Academy Award-winning actor Anthony Hopkins born on December 31, 1937?
",Scotland,England,Wales,Ireland,Wales
922,"In what European country was Oscar-winning actress Audrey Hepburn born on May 4, 1929?
",France,England,Belgium,Netherlands,Belgium
923,"Academy Award winner Tom Hanks was born on July 9, 1956 in this US state.
",Florida,California,New York,Pennsylvania,California
924,"Which statement is true about Will Lee?
","He was born in Philadelphia, PA, in 1922.",He was born in Pittsburgh in 1916.,"He was born in Halifax, Nova Scotia in 1919.","He was born in Brooklyn, New York in 1908.","He was born in Brooklyn, New York in 1908."
925,"Of course, Will Lees most famous role was that of Mr. Hooper on Sesame Street. What was Mr. Hoopers first name?
",Hector,Harold,Herman,Henry,Harold
926,"Which member of Sesame Street had a lot of trouble saying Mr. Hooper?
",Bert,Big Bird,Cookie Monster,Ernie,Big Bird
927,"Who ran the store on the childrens show Sesame Street immediately after Mr. Hoopers death?
",David and Gina,Maria and Luis,Bert and Ernie,Alan and Mary,David and Gina
928,"In episode 335 of Sesame Street, Alan went on vacation. Who ran the store while he was away?
",Natalie,Bob and Kermit,Big Bird,Maria and Luis,Natalie
929,"Will Lee began his acting career doing Broadway musicals.
",True,False,,,False
930,"Just like many fine American actors, Will Lee was blacklisted from 1951-1956. Who was responsible for the blacklistings?
",Alan Dulles,Senator Joseph McCarthy,President Eisenhower,John Foster Dulles,Senator Joseph McCarthy
931,"In 1953 Will Lee appeared in this great American movie.
",The Farmers Daughter,Little Fugitive,Pickup on South Street,Titanic,Little Fugitive
932,"In the 1930s, Will Lee was a member of this famous theater group.
",The American Repertory Troupe,The Group Theater,The Actors Studio,The Northwestern Actors Theater,The Group Theater
933,"In 1980, Will Lee played Shmuel in this movie.
",Playing for Time,One Trick Pony,A Small Circle of Friends,Stardust Memories,Playing for Time
934,"In what US state was the 43rd President of the United States George W. Bush born on July 6, 1946?
",Texas,Kentucky,Connecticut,Oregon,Connecticut
935,"In what country was Academy Award winner Katharine Hepburn born on May 12, 1907?
",Australia,United States,United Kingdom,Canada,United States
936,"Author and poet Oscar Wilde was born in this European country on October 16, 1854.
",Denmark,Ireland,Scotland,England,Ireland
937,"Albert Einstein was born on March 14, 1879 on the territory of what present day country?
",Switzerland,Hungary,Germany,Austria,Germany
938,"In what US state was Academy Award winner Meryl Streep born on June 22, 1949?
",New Jersey,North Carolina,Virginia,Maine,New Jersey
939,"Madonna Louise Ciccone, known as simply Madonna, was born on August 16, 1958 in this country.
",Italy,the United States,Mexico,Spain,the United States
940,"In what US state was movie director and producer Steven Spielberg born on December 18, 1946?
",Tennessee,Mississippi,Oregon,Ohio,Ohio
941,"In what country was composer Johann Sebastian Bach born on March 31, 1685?
",Switzerland,Germany,Austria,Hungary,Germany
942,"African-American civil rights movement leader Martin Luther King, Jr. was born in this US state on January 15, 1929.
",Alabama,Louisiana,Georgia,Illinois,Georgia
943,"Academy Award winner Dustin Hoffman was born on August 8, 1937 in this US city.
",San Francisco,New York,Chicago,Los Angeles,Los Angeles
944,"What did supermodel Naomi Campbell study in the Italia Conti Academy where she was accepted at the age of 10?
",Fashion design,Acting,Painting,Ballet,Ballet
945,"What popular fashion brand did supermodel Christy Turlington represent from 1987 to 2007?
",Versace,Calvin Klein,Ralph Lauren,Armani,Calvin Klein
946,"In what popular Macaulay Culkin movie has supermodel Claudia Schiffer made an appearance?
",Home Alone 2: Lost in New York,My Girl,Richie Rich,Party Monster,Richie Rich
947,"Supermodel Cindy Crawford won an academic scholarship to major in this field at Northwestern University.
",Chemical engineering,Medicine,Physics,Information technology,Chemical engineering
948,"What is the name of supermodel Kate Moss daughter born on 29 September 2002?
",Lenee,Leona,Lily,Lila,Lila
949,"What fashion designer called supermodel Linda Evangelista top of the tops and stated, There is not another model in the world as professional as she is?
",Stefano Gabbana,Roberto Cavalli,Karl Lagerfeld,John Galliano,Karl Lagerfeld
950,"In what popular TV sitcom did supermodel Elle Macpherson make a guest appearance in 1999?
",Friends,Will And Grace,Two Guys and a Girl,Veronicas Closet,Friends
951,"What actress did supermodel Tyra Banks co-star with in the 2000 Disney film Life-Size?
",Hilary Duff,Ashley Olsen,Lindsay Lohan,Dakota Fanning,Lindsay Lohan
952,"What member of Bon Jovi did model Eva Herzigova marry in September 1996?
",David Bryan,Jon Bon Jovi,Tico Torres,Richie Sambora,Tico Torres
953,"Model Helena Christensen admitted she was addicted to this food and was even considering getting a shoulder tattoo of it.
",Fish,Broccoli,Mushrooms,Cheese,Cheese
954,"What popular person once said, The history of dance on film begins with Astaire?
",Kirk Douglas,Marlon Brando,Gene Kelly,Steven Spielberg,Gene Kelly
955,"What musical instrument did Fred Astaire learn to play when he was a child?
",All of these,Accordion,Clarinet,Piano,All of these
956,"Where did Fred Astaire and his sister Adele suposedly take their stage name Astaire from?
",From their uncles name,From their dance instructor,From a book character,From the name of a cafeteria,From their uncles name
957,"What did Fred Astaires screen test report for RKO Pictures read according to him?
",Cant act.,Cant talk.,Cant dance.,Cant sing.,Cant act.
958,"What is the name of Fred Astaires first-born child, born in 1936?
",Ava,Phyllis,Peter,"Fred, Jr.","Fred, Jr."
